,country,FSI,EPI,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1
50,Estonia2016,43.4,88.59,2.9,5.5,6.8,3.7,3.4,3.7,2.9,3.1,1.8,3,2.6,4
51,Ethiopia2016,97.2,45.83,8.1,8.3,8.6,6.7,6.7,7.3,7.7,8.3,8.5,9.3,9.5,8.2
52,Fiji2016,76.2,75.29,6.8,7.9,7.1,6.7,6.5,7.9,7.1,4.5,6.6,4.4,3.3,7.4
53,Finland2016,18.8,90.68,1.4,1.1,2,3.7,1.2,2,0.6,1,1,1.3,2.5,1
54,France2016,34.5,88.2,3,1.9,7,4.5,3.4,1.9,1.5,1.3,2.3,3,2.7,2
55,Gabon2016,72,67.37,4.7,7.1,4,5,6.7,5.8,7.7,6.9,7.2,6.8,4.7,5.4
56,Georgia2016,78.9,64.96,7,9.1,8.1,5.6,5.7,5.1,8.5,4.5,5.8,4.2,7.7,7.6
57,Germany2016,28.6,84.26,1.8,2.3,4.8,2.4,3,1.8,1,1.3,1.3,2.2,5.7,1
58,Ghana2016,71.2,58.89,3.8,4.9,4.6,6.6,6.8,7.9,4.7,7.4,5.3,7.1,5.2,6.9
59,Greece2016,55.9,85.81,4.2,3.8,5.1,7,3.9,3.5,6.2,4,3.2,3.9,5,6.1
60,Grenada2016,63,63.28,5.9,5.6,3.8,6.2,5,8.6,5.6,4,3.4,4.9,3.2,6.8
61,Guatemala2016,83.2,69.64,7.3,6.8,8.2,5.7,8.3,7,6.7,7.7,6.9,7.4,5.8,5.4
62,Guinea2016,103.8,55.4,9,9.9,8.8,9.4,7.4,7.5,9.8,9.2,7.9,8.9,8.4,7.6
63,Guyana2016,70.9,71.14,6.1,5.1,6.4,6.1,5.9,9.4,5.6,6.4,3.6,5.5,3.8,7
64,Haiti2016,105.1,43.28,7.9,9.6,6.7,8.9,9.5,9,9.4,9.4,7.7,9.2,7.9,9.9
65,Honduras2016,79.8,69.64,7,6.8,6.1,6.6,7.9,6.6,7,7,6.6,6.5,4,7.7
66,Hungary2016,52.7,84.6,2.4,5.3,5,5.6,4,3,6.3,3.4,4.9,2,6.7,4.1
67,Iceland2016,22.8,90.51,1.2,1.8,1.3,3.5,1.3,2.5,1,1.4,1,1.8,1.7,4.3
68,India2016,79.6,53.58,7.6,7.3,8.5,5.3,7.2,5.8,4.9,7.6,6.2,8.1,5.5,5.6
69,Indonesia2016,74.9,65.85,5.9,7,7.3,5.5,6,6.6,5.3,6.1,7.4,6.8,5.6,5.4
70,Iran2016,86.9,66.32,7.7,9.6,8.8,6.6,5.8,6.5,9.2,4.7,9.5,5.1,6.7,6.7
71,Iraq2016,104.7,63.97,10,9.6,9.8,6.8,7.5,7.9,9.2,7.8,8.9,8.1,9.4,9.7
72,Ireland2016,22.5,86.6,1.8,1.5,1.6,3.6,2.4,2.5,1.2,1.6,1.1,1.9,1.7,1.6
73,Italy2016,43.1,84.48,4.2,4.9,5,5.5,3.1,1.7,3.9,2.3,2.2,2.8,5,2.5
74,Jamaica2016,65,77.02,6.6,3.7,3.6,7.1,5.6,8.1,5,6.1,5.2,4.9,3.1,6
75,Japan2016,35.1,80.59,1.3,2.6,3.9,4.3,1.8,2.9,1.4,1.8,3.2,4.5,3.4,4
76,Jordan2016,78,72.24,5.2,6.9,7.7,6.6,5.6,3.9,6.4,4.4,8,6.7,9.3,7.3
77,Kazakhstan2016,66.5,73.29,5.4,7.6,7.3,6.6,4.4,3.3,8,4.2,7.4,4.7,3.2,4.4
78,Kenya2016,98.3,62.49,8.5,8.9,9.1,7.4,8,7.8,7.8,8.2,7.2,9.1,8,8.3
79,Kuwait2016,58.5,64.41,4.2,7.5,5.2,2.7,4.4,3.3,7.4,2.8,7.6,5.2,3.7,4.5
80,Kyrgyz Republic2016,81.1,73.13,6.5,8,8.6,7.2,6.1,6.7,7.9,5.3,7,5.7,5.5,6.6
81,Laos2016,84.4,50.29,5.7,8.3,6.6,5.4,7.1,7.7,9.3,7.2,8.1,7.4,5.3,6.3
82,Latvia2016,47.4,85.71,3.2,4.3,7.7,3.7,4.3,4.5,3.6,3.1,2.8,3.1,3,4.1
83,Lebanon2016,89.6,69.14,8.9,9.3,8.7,6.1,5.8,5.1,7.8,5.9,7.4,5.8,9.5,9.3
84,Lesotho2016,80.9,47.17,5.9,7.3,4.1,8.2,7.6,7.7,6.1,8.3,4.7,8.2,4.8,8
85,Liberia2016,95.5,43.42,6.6,8.3,6,8.3,8.6,6.9,7,9.5,6.7,9.2,8.9,9.5
86,Libya2016,96.4,63.29,9.6,9.4,8.3,8,5.8,6.5,9.5,7.2,9.3,5.1,8,9.7
87,Lithuania2016,42.4,85.49,3.1,3,4.6,4.7,4.7,4.1,2.9,3.7,2.7,3,2.4,3.5
88,Luxembourg2016,24.1,86.58,1.9,3.4,3.1,1.2,1.7,1.8,1,2.3,1,1.7,3.7,1.3
89,Macedonia2016,67,78.02,5.7,7.3,7.1,6,5.4,5.2,6,4.1,4,3,7,6.2
90,Madagascar2016,84.2,37.1,7.3,7.8,4.3,7.8,8.8,6.4,7.3,9.3,5.8,8.8,3.6,7
91,Malawi2016,87.6,49.69,4.5,7.7,5.1,8.6,8.5,8.1,6.6,8.1,6.4,9.3,6.3,8.4
92,Malaysia2016,66.1,74.23,6.5,6.8,6.7,3.3,5.2,4.7,7.4,4.4,7.7,5.5,3.9,4
93,Maldives2016,74,57.1,6.6,8,4.8,6.1,3.8,5.9,8.7,5.8,7.7,5.5,4.4,6.7
94,Mali2016,95.2,41.48,9.2,5.2,7.9,7.9,7.6,8.7,6.3,9,7,8.7,8.1,9.6
95,Malta2016,39.6,88.48,3.3,2,3.9,4.2,2.8,3.9,3.8,2.2,3.2,2.7,4.1,3.5
96,Mauritania2016,95.4,46.31,7.1,8.8,7.2,7.9,7,6.6,8.2,9.2,8.1,8.9,8.2,8.2
97,Mauritius2016,43.2,70.85,2.5,3.2,3.8,4.2,4,4.1,3.2,3.5,3.6,3.8,2.4,4.9
98,Mexico2016,70.4,73.59,8,5.1,6.7,4.4,6.3,5.5,6.2,6.5,6.2,6.2,4.1,5.2
99,Moldova2016,73.2,76.69,6.3,8.3,7,6.6,5,6.3,6.8,5.1,5.1,5,4.1,7.6
100,Mongolia2016,56.6,64.39,3.7,5.5,4,5,6.1,3,4.2,5.6,4.7,5.3,2.7,6.8
101,Montenegro2016,55.2,78.89,3.7,6.5,7.6,4.9,2.6,3.7,4.8,3.3,4.1,3,4.8,6.2
102,Morocco2016,74.2,74.18,5.4,6.6,7.4,5,6.4,7.9,6.8,5.4,7,5,5.6,5.7
103,Mozambique2016,87.8,41.82,6.7,6.9,5.6,7.7,8.9,7.7,6.7,9.2,5.8,9.5,5.5,7.6
104,Myanmar2016,96.3,48.98,8.4,8.6,9.9,6.4,7.9,6,8.7,8.7,8.6,7.3,8.3,7.5
105,Namibia2016,71.1,70.84,5.2,3.5,6,7,8.4,6.8,3.5,7.6,4,7.3,5.2,6.6
106,Nepal2016,91.2,50.21,6.7,8.3,9.5,7,7.2,6.7,7.1,7.4,7.4,8.8,8,7.1
107,Netherlands2016,28.2,82.03,1.7,3.1,4.4,2.9,2.4,2.3,1.5,1.2,1.1,2.7,4,0.9
108,New Zealand2016,21.3,88,1.4,1.1,3.8,3.8,2.5,1.8,0.6,1.6,0.7,1.6,1.5,0.9
109,Nicaragua2016,79,64.19,5.7,7.1,6.7,5.9,8.2,8.3,7.6,6.9,5.4,5.5,4.2,7.5
110,Niger2016,98.4,37.48,8.9,8.9,7.7,8,8.2,7.2,7.8,9.2,6.7,9.5,8,8.3
111,Nigeria2016,103.5,58.27,9.7,9.9,9.4,7.7,8.8,7.4,8.8,9.4,9.1,9.1,7.7,6.5
112,Norway2016,21.2,86.9,2.2,1.1,3.8,1.7,1.7,1.3,0.5,1.1,1.6,1.7,3,1.5
113,Oman2016,51.6,60.13,4.4,6.6,3.1,4.2,4.3,2.2,6.5,3.7,7.4,5,2.2,2
114,Pakistan2016,101.7,51.42,9.3,8.9,9.7,7.4,7,7.3,8.3,8.2,8.2,8.9,8.9,9.6
115,Panama2016,53.2,78,5.4,2.5,5.3,3.1,7.6,4.3,3.7,5.3,4.5,5.4,3.2,2.9
116,Papua New Guinea2016,86.2,48.02,7.2,7.1,6.5,5.8,9.3,7.4,7,9.2,7.1,7.9,4.7,7
117,Paraguay2016,72.6,70.36,6.8,7.8,6,5.2,8.1,5.5,7.2,6.4,6.1,6.2,2.8,4.5
118,Peru2016,72,72.95,7.3,6.9,7.6,3.4,7.6,7,7.4,6.9,4.5,5.2,4.5,3.7
119,Philippines2016,84.7,73.7,9.4,8,8.1,5.7,5.9,6.5,7.2,6.9,5.6,7.7,7.1,6.6
120,Poland2016,40.7,81.26,2,3.8,4.9,3.8,3.2,4.2,3.5,2.5,2.9,3,3.8,3.1
121,Portugal2016,29.2,88.63,1.5,2.5,2.7,5,2.7,1.9,1.8,2.4,2,2.3,1.9,2.5
122,Qatar2016,45.1,69.94,2.3,5,4.6,2.3,4.9,2.8,6.3,1.5,6.5,4,2,2.9
123,Romania2016,52.9,83.24,3.2,5.4,7,4.9,4.4,4.2,5.7,4,3.9,3.4,3,3.8
124,Russia2016,81,83.52,9.2,8.1,9,5.4,6.4,4.2,8.2,4.4,9.4,4.8,6,5.9
125,Rwanda2016,91.3,50.34,5.9,8.3,9.1,6.2,8.5,7.6,6.8,7.6,7.4,8.2,8,7.7
126,Samoa2016,67.6,70.2,4.9,5.1,4.5,6.5,5.1,9.2,5.7,5.1,4.3,5.9,2.4,8.9
127,Sao Tome and Principe2016,72.9,48.28,5.2,6.3,4.5,8.7,6.2,8.2,5.8,6.1,3.5,6.4,4.4,7.6
128,Saudi Arabia2016,72.2,68.63,6.5,8.2,7.5,4.7,5.5,3.5,8.1,4,8.9,5.5,4.9,4.9
129,Senegal2016,83.6,63.73,5.9,6.6,6.6,7.6,7.6,7.7,5.2,7.6,6.2,8.3,7.5,6.8
130,Serbia2016,72,78.67,5.7,8,7.8,6.6,5,5,5.4,4.4,4.6,4.5,8.6,6.4
131,Seychelles2016,60.2,64.92,6.3,6,4.5,4.3,5.7,5.6,5.7,2.9,4.3,4.8,2.9,7.2
132,Sierra Leone2016,91,45.98,4.5,7.8,5.9,8.8,8.5,8.7,7.1,9,5.5,9.2,7.9,8.1
133,Singapore2016,32.9,87.04,1.7,4,2.8,2.2,4,3,3.9,1.5,4.3,2.7,1.4,1.4
134,Slovenia2016,33.9,88.98,1.8,1.7,4.2,4,3.6,2.8,2.9,1.7,1.7,2.5,4.5,2.5
135,Solomon Islands2016,85.3,46.92,6.1,8.2,6.5,7.3,9.2,6.6,7,7.9,5.4,8.2,4.6,8.3
136,Somalia2016,114,27.66,9.7,10,9.4,9,9.3,9.5,9.5,9,9.7,9.7,9.7,9.5
137,South Africa2016,69.9,70.52,5.8,5.6,6.3,6.6,7.7,5.2,5,7.2,4.4,7.3,5.6,3.2
138,South Korea2016,36.1,70.61,1.8,3.8,3.1,2.1,3.2,3.6,3.4,2.1,2.9,3.3,1.7,5.1
139,Spain2016,39.8,88.91,3,6.3,5.9,5.2,3.7,2.1,3,2.4,2,2.2,2,2
140,Sri Lanka2016,87.7,65.55,7.6,8.8,9.2,5.6,7.3,7.9,7.4,5.3,8.5,5.7,7.9,6.5
141,Sudan2016,111.5,42.25,9.2,10,9.8,8.7,7.6,9.1,9.8,9.1,9.3,9,10,9.9
142,Suriname2016,66.7,68.58,5.1,5.8,5.8,6.8,6.3,7,5.2,5.8,4.8,5,3,6.1
143,Swaziland2016,87.6,60.63,6,6.8,3.4,9.4,8.4,7.2,8.8,7.8,8.8,8.9,4.8,7.3
144,Sweden2016,22.6,90.43,1.8,1.8,1.7,2,1.5,1.2,1,1.3,1.3,2.2,5.5,1.3
145,Switzerland2016,21.8,86.93,1.3,1,3.8,2.5,2.4,1.8,1,1.1,2,1.7,2.2,1
146,Syria2016,110.8,66.91,10,9.9,10,7.8,7.4,8.6,10,8.9,9.8,8.4,10,10
147,Tajikistan2016,83.8,73.05,6.9,8.4,7.6,7.5,5.3,6.4,9.3,5.8,7.9,8.1,4.5,6.1
148,Tanzania2016,81.8,58.34,5.2,6,5.4,6.4,7.3,7.3,6.1,8.8,6.1,8.9,6.9,7.4
149,Thailand2016,78.8,69.54,9.2,9.7,9,3.8,5.5,4.4,7.7,4.6,8.2,6.6,6.1,4
150,Timor-Leste2016,90.8,55.79,7.4,8.3,6.7,8.1,7,7.3,7.1,8.7,5.5,9.2,6.5,9
151,Togo2016,85.8,46.1,6.7,7.6,4.8,6.5,8.4,7.6,8,8.3,6.9,8,6.8,6.2
152,Trinidad and Tobago2016,57.8,74.34,6,5.6,4.4,4.6,5.1,7.8,4.7,4.5,4.3,4.7,2.8,3.3
153,Tunisia2016,74.6,77.28,7.9,7.8,7.9,6.9,5.1,5.8,6.7,4.6,6.7,4.4,4.2,6.6
154,Turkey2016,77.3,67.68,7.8,7.6,9.5,4.8,5.9,3.6,6.6,4.6,7.4,5.1,8.8,5.6
155,Turkmenistan2016,76,70.24,6.5,7.8,6.8,5.1,6.9,4.8,9.8,5.8,8.9,5.6,3.7,4.3
156,Uganda2016,97.7,57.56,7.3,8.9,9,6.7,7.6,7.6,8.3,8.5,8,8.7,9.1,8
157,Ukraine2016,75.5,79.69,7.8,8,6.9,7,4.4,5.4,8.4,3.9,6.2,4.4,4.3,8.8
158,United Arab Emirates2016,44.5,69.35,2.8,3.6,3.6,2.6,3.9,2.2,6.9,2.4,7.5,4.2,2.2,2.6
159,United Kingdom2016,32.4,87.38,2.4,3.5,5.9,3.8,3.8,1.8,1.7,1.8,1.9,2.6,2.2,1
160,Uruguay2016,36.2,73.98,3.5,2.7,2.7,3.3,4.3,4.1,1.1,3.1,2.5,4,2.2,2.7
161,Uzbekistan2016,83.5,63.67,7.3,8.8,7.3,6.5,7.1,6,9.7,5.1,9.4,5.8,5.7,4.8
162,Venezuela2016,81.6,76.23,6.8,8.2,7.4,7,6.9,5.2,8.7,7.2,8.6,5.2,4.8,5.6
163,Yemen2016,111.5,49.79,10,9.5,9.5,9.4,8.4,7.5,9.4,9.3,9.4,9.5,9.6,10
164,Zambia2016,86.3,66.06,4.7,5.7,5.4,8.1,8.9,8.1,7.2,8.1,7.1,9.5,6.6,6.9
165,Zimbabwe2016,100.5,59.25,7.8,9.8,7.5,8.3,8.2,8.1,8.9,8.5,8.4,8.6,8.7,7.7
166,Afghanistan2015,107.9,39.53,10,9.3,8.9,8.6,7.2,8.1,9.7,9.3,8.6,9.3,9.1,9.8
167,Albania2015,61.9,73.14,4.7,6.2,5,5.2,4.2,7.1,6.2,4.5,5.5,4.1,3.1,6.1
168,Algeria2015,79.6,71.94,8,7.7,8.2,6.4,6,5.1,7.8,5.8,7.1,5.7,6.4,5.4
169,Angola2015,87.9,50.83,6,7.2,7.3,5.6,9.6,6,8.3,8.9,7.3,8.7,7.6,5.6
170,Antigua and Barbuda2015,57.8,64.75,5.2,3.7,3.9,5,5,7.3,5.9,3.9,4.5,4.6,3,5.8
171,Argentina2015,47.6,79.8,3.6,2.8,5,4.9,5.4,3,4.7,4.3,4.1,3.8,2,4
172,Armenia2015,69.7,81.24,5.3,7,5.4,6,5,6,7,4.1,6.5,3.6,7,6.8
173,Australia2015,24.3,87.58,2.1,1.6,4.4,2.1,2.7,1,1.1,2,2.4,1.8,2.1,1
174,Austria2015,25.8,85.68,1.1,2.7,4.3,2.2,3.4,1.5,1.4,1.6,1.7,2.4,2,1.7
175,Azerbaijan2015,77.3,83.68,6.7,7.9,6.4,4.1,5.9,4.3,8.6,5.4,8.4,5.1,7.6,6.9
176,Bahrain2015,64.4,70.86,6.7,7.1,7.7,3.2,5.1,3.5,8.4,2.3,7.8,4.6,2.6,5.3
177,Bangladesh2015,91.8,43.66,7.7,9.6,8.4,6.7,7.2,7.5,8.5,8.1,7.7,8.1,6.6,5.7
178,Barbados2015,49.3,56.95,4.3,4.2,4.1,5.7,5.1,5.4,3,2.7,2.9,3.8,2.7,5.4
179,Belarus2015,75.6,81.9,6.6,8.3,6.8,6.1,5.2,3.4,8.6,4.7,8.4,5.6,4.1,7.8
180,Belgium2015,30.5,79.56,2,3.9,4.1,4.5,3.2,1.9,1.9,2.1,1.2,2.5,1.6,1.5
181,Belize2015,65.3,74.67,5.8,4.3,4.1,5.9,6.2,6.5,5.7,5.8,4.1,5.9,4.1,6.9
182,Benin2015,78.8,43.83,6.2,6.1,3.9,6.6,7.5,6.8,6.2,8.6,5.6,8.2,6,7.1
183,Bhutan2015,78.7,64.26,5,7.5,7.9,5.7,6.9,6.8,5,6.6,6.5,6,6.9,7.9
184,Bolivia2015,78.1,71.33,6.6,8,6.5,5.4,8.6,6.4,7,6.9,5.9,6.7,3.8,6.2
185,Bosnia and Herzegovina2015,77.4,61.44,6.2,8.7,7.1,5.8,5.6,5.5,7,4.1,5.8,6.1,7.3,8.2
186,Botswana2015,62.8,70.84,3.5,3.3,5.4,6.3,7.7,5.1,3.8,6,4.4,7.5,5.2,4.6
187,Brazil2015,62.7,80.11,5.9,4.9,5.9,3.9,7.7,4.1,5.1,5.9,5.8,7.6,3.1,2.7
188,Brunei Darussalam2015,63,63.85,5.6,7.4,5.9,2.8,7.8,4.6,8,2.2,7.7,4.2,2.7,4.1
189,Bulgaria2015,55.4,82.52,4.1,5.3,5.2,6.2,4.9,4.6,5,4.2,3.4,4.2,3.5,4.8
190,Burkina Faso2015,89.2,43.76,7.4,7.8,5,7.1,8.1,6.9,8.1,8.9,6.2,9.1,7.1,7.5
191,Burundi2015,98,42.76,7.7,7.9,8,8.5,7.7,6.8,8.4,8.3,8.2,9.2,9,8.4
192,Cambodia2015,87.9,51.42,6.7,8.2,7.4,6.4,7.1,7.5,8.4,7.7,8.3,7,5.8,7.4
193,Cameroon2015,94.3,57.33,7.6,9.1,8.1,6.2,7.8,7.5,8.4,8.8,8,8,7.8,7
194,Canada2015,25.6,85.06,2.2,2.5,3.9,1.8,3,2.2,0.9,2,1.8,2.4,2,1
195,Cape Verde2015,73.5,51.75,5.7,5.5,4,6.2,7.5,8.6,5.7,6.5,4.5,7.1,4.1,8.1
196,Central African Republic2015,111.9,46.69,9.8,10,9.6,8.3,9.7,6.9,9.5,9.9,10,8.4,10,9.8
