,EPI,FSI,country,fragile
120,81.26,40.7,Poland2016,0.09976905836489719
121,88.63,29.2,Portugal2016,0.04430053660188897
122,69.94,45.1,Qatar2016,0.15169853298854133
123,83.24,52.9,Romania2016,0.15786637613199125
124,83.52,81.0,Russia2016,0.5331594849627421
125,50.34,91.3,Rwanda2016,0.9648344580510843
126,70.2,67.6,Samoa2016,0.21332348204713034
127,48.28,72.9,Sao Tome and Principe2016,0.6540861942579531
128,68.63,72.2,Saudi Arabia2016,0.3957065885250022
129,63.73,83.6,Senegal2016,0.67269935634272
130,78.67,72.0,Serbia2016,0.35686750912746323
131,64.92,60.2,Seychelles2016,0.18105656208383078
132,45.98,91.0,Sierra Leone2016,0.8764916631748028
133,87.04,32.9,Singapore2016,0.08453584029858609
134,88.98,33.9,Slovenia2016,0.07070428905804975
135,46.92,85.3,Solomon Islands2016,0.835782297261889
136,27.66,114.0,Somalia2016,0.9768774529617744
137,70.52,69.9,South Africa2016,0.28444702573184194
138,70.61,36.1,South Korea2016,0.06741619181692318
139,88.91,39.8,Spain2016,0.09262543984822827
140,65.55,87.7,Sri Lanka2016,0.6576193316487028
141,42.25,111.5,Sudan2016,0.9875158157270965
142,68.58,66.7,Suriname2016,0.22390440489116542
143,60.63,87.6,Swaziland2016,0.8859129235592327
144,90.43,22.6,Sweden2016,0.04696037108543368
145,86.93,21.8,Switzerland2016,0.04685410870118973
146,66.91,110.8,Syria2016,2.232597959457378
147,73.05,83.8,Tajikistan2016,0.5719945513855433
148,58.34,81.8,Tanzania2016,0.6186482449160543
149,69.54,78.8,Thailand2016,0.5209308203700058
150,55.79,90.8,Timor-Leste2016,1.1961301769003556
151,46.1,85.8,Togo2016,0.8517971431002406
152,74.34,57.8,Trinidad and Tobago2016,0.18920544759890456
153,77.28,74.6,Tunisia2016,0.377782508151726
154,67.68,77.3,Turkey2016,0.476209361263954
155,70.24,76.0,Turkmenistan2016,0.4178304044830682
156,57.56,97.7,Uganda2016,1.2711515809272618
157,79.69,75.5,Ukraine2016,0.3659130066679709
158,69.35,44.5,United Arab Emirates2016,0.1383735646112586
159,87.38,32.4,United Kingdom2016,0.07090318661811301
160,73.98,36.2,Uruguay2016,0.0609486753921777
161,63.67,83.5,Uzbekistan2016,0.5731757003918376
162,76.23,81.6,Venezuela2016,0.4966724985489885
163,49.79,111.5,Yemen2016,0.987599479919349
164,66.06,86.3,Zambia2016,0.8452673231501338
165,59.25,100.5,Zimbabwe2016,1.6401237815275496
166,39.53,107.9,Afghanistan2015,0.9679314267226026
167,73.14,61.9,Albania2015,0.2142534205842187
168,71.94,79.6,Algeria2015,0.47552511848502216
169,50.83,87.9,Angola2015,0.9741062380988943
170,64.75,57.8,Antigua and Barbuda2015,0.16492765044729935
171,79.8,47.6,Argentina2015,0.096989937745682
172,81.24,69.7,Armenia2015,0.3302439876759204
173,87.58,24.3,Australia2015,0.05085718088893158
174,85.68,25.8,Austria2015,0.05065379468727473
175,83.68,77.3,Azerbaijan2015,0.44054740792832753
176,70.86,64.4,Bahrain2015,0.3231221563560176
177,43.66,91.8,Bangladesh2015,0.9680236527796355
178,56.95,49.3,Barbados2015,0.10547933417070726
179,81.9,75.6,Belarus2015,0.36763950904784964
180,79.56,30.5,Belgium2015,0.05358635446371983
181,74.67,65.3,Belize2015,0.19288956656853545
182,43.83,78.8,Benin2015,0.7826645331828077
183,64.26,78.7,Bhutan2015,0.4291076164353814
184,71.33,78.1,Bolivia2015,0.3800456634389707
185,61.44,77.4,Bosnia and Herzegovina2015,0.41351585706337635
186,70.84,62.8,Botswana2015,0.17816472659553173
187,80.11,62.7,Brazil2015,0.19541480435873776
188,63.85,63.0,Brunei Darussalam2015,0.3187396979750093
189,82.52,55.4,Bulgaria2015,0.1422325958462744
190,43.76,89.2,Burkina Faso2015,0.8723565435561488
191,42.76,98.0,Burundi2015,0.9645062408179682
192,51.42,87.9,Cambodia2015,0.9444918341467338
193,57.33,94.3,Cameroon2015,0.9938935262351568
194,85.06,25.6,Canada2015,0.05263807040798418
195,51.75,73.5,Cape Verde2015,0.6359677811760047
196,46.69,111.9,Central African Republic2015,1.0191591423200206
197,37.86,108.4,Chad2015,0.9795087498465119
198,78.6,41.5,Chile2015,0.06960312203162523
199,66.26,76.5,China2015,0.44386652433258433
200,77.81,82.5,Colombia2015,0.519037293582579
201,48.73,83.3,Comoros2015,0.7749130347692244
202,80.98,46.8,Costa Rica2015,0.08678653785304472
203,59.89,100.1,Cote d'Ivoire2015,1.4906156081525572
204,85.21,51.0,Croatia2015,0.14551554146621584
205,78.81,67.4,Cuba2015,0.286424588645921
206,79.57,66.2,Cyprus2015,0.21445494067164675
207,83.78,37.4,Czech Republic2015,0.07464266075987464
208,88.78,21.4,Denmark2015,0.03876000263026916
209,44.27,88.0,Djibouti2015,0.921113112480516
210,76.8,71.2,Dominican Republic2015,0.2860939896515202
211,68.23,75.9,Ecuador2015,0.380770113673487
212,66.04,89.9,Egypt2015,0.7262273100466488
213,69.39,71.4,El Salvador2015,0.29718481867778196
214,70.17,84.8,Equatorial Guinea2015,0.529392630391287
215,36.08,96.9,Eritrea2015,0.9402966008315613
216,88.24,43.7,Estonia2015,0.10460857245837443
217,45.86,97.5,Ethiopia2015,0.9816156179062525
218,74.85,76.7,Fiji2015,0.3949231386383714
219,90.74,17.7,Finland2015,0.03177664151309921
220,87.87,33.7,France2015,0.07290358341877326
221,67.57,71.2,Gabon2015,0.2964490232935939
222,64.05,79.2,Georgia2015,0.472191550277314
223,83.67,28.1,Germany2015,0.057428040301807
224,58.75,71.8,Ghana2015,0.3052318936130414
225,84.81,52.6,Greece2015,0.11301463829359208
226,62.42,63.5,Grenada2015,0.19706887174082488
227,69.56,80.4,Guatemala2015,0.4622513418192426
228,55.32,104.9,Guinea2015,2.5656205741886358
229,70.54,70.5,Guyana2015,0.2720890055544587
230,42.93,104.5,Haiti2015,0.9245091435214914
231,69.76,78.1,Honduras2015,0.38131813969753886
232,82.33,49.1,Hungary2015,0.13137346693833557
233,90.48,23.4,Iceland2015,0.031357606307191234
234,55.08,79.3,India2015,0.445029031240107
235,65.9,75.0,Indonesia2015,0.3799218722671394
236,64.84,87.1,Iran2015,0.638434822506647
237,62.26,104.4,Iraq2015,1.3795094832203683
238,87.51,24.6,Ireland2015,0.037902332003071505
239,83.48,43.2,Italy2015,0.10592604318494893
240,77.11,64.6,Jamaica2015,0.19795618822757832
241,81.24,36.0,Japan2015,0.0615773829570079
242,70.7,76.9,Jordan2015,0.4247241847124068
243,72.84,68.3,Kazakhstan2015,0.3039645989473308
244,62.55,97.3,Kenya2015,1.2953810220911646
245,62.95,57.5,Kuwait2015,0.2316835999845936
246,73.19,82.2,Kyrgyz Republic2015,0.5113168472191857
247,50.04,84.4,Laos2015,0.9490915646905558
248,85.93,48.5,Latvia2015,0.13115624509840668
249,66.46,88.1,Lebanon2015,0.6437528040564967
250,46.52,79.9,Lesotho2015,0.7691805195857259
251,43.06,97.3,Liberia2015,0.9406055366095972
252,62.8,95.3,Libya2015,0.9143975800174139
253,84.82,43.0,Lithuania2015,0.08138344050455522
254,86.31,22.1,Luxembourg2015,0.04724613554747823
255,75.52,64.5,Macedonia2015,0.24606269555191437
256,36.56,83.6,Madagascar2015,0.8238431876999899
257,49.32,86.9,Malawi2015,0.8393776541844612
258,76.19,65.9,Malaysia2015,0.28693811111726086
259,56.65,74.3,Maldives2015,0.35252748516040483
260,41.4,92.9,Mali2015,0.8564986268788566
261,89.91,40.9,Malta2015,0.09817627224240176
262,45.9,94.9,Mauritania2015,0.9559954716322231
263,72.17,45.2,Mauritius2015,0.08020733155491712
264,73.56,71.9,Mexico2015,0.2974893826496994
265,75.81,73.0,Moldova2015,0.3205879210957483
266,66.84,57.0,Mongolia2015,0.12030879642216984
267,77.47,54.2,Montenegro2015,0.1641248383845263
268,74.33,74.6,Morocco2015,0.3776962790655072
269,41.91,86.9,Mozambique2015,0.8263860274437279
270,48.68,94.7,Myanmar2015,1.0963248242060755
271,71.21,70.8,Namibia2015,0.2718284156687204
272,50.94,90.5,Nepal2015,0.983434657580465
273,82.84,26.9,Netherlands2015,0.049133982681734495
274,89.73,22.6,New Zealand2015,0.03748756823887721
275,64.44,79.0,Nicaragua2015,0.407983683200696
276,37.35,97.8,Niger2015,0.9273562267560723
277,58.27,102.5,Nigeria2015,1.4825303580263616
278,87.78,20.9,Norway2015,0.041888147748970594
279,60.02,52.0,Oman2015,0.15742078334431997
280,52.71,103.0,Pakistan2015,1.001255388815837
281,79.49,54.6,Panama2015,0.13518366900408108
282,47.44,83.4,Papua New Guinea2015,0.8209819355687603
283,70.13,71.3,Paraguay2015,0.2833283762511217
284,72.94,72.0,Peru2015,0.3287564350230475
285,74.04,86.2,Philippines2015,0.6514877004841073
286,80.09,39.8,Poland2015,0.08661460721146777
287,88.71,29.7,Portugal2015,0.042955546142695616
288,69.06,46.3,Qatar2015,0.14489199597091887
289,82.12,54.2,Romania2015,0.154305775628179
290,83.06,80.0,Russia2015,0.5122362186290739
291,50.97,90.2,Rwanda2015,0.9608233261562568
292,69.6,68.2,Samoa2015,0.2189882313171588
293,48.77,73.7,Sao Tome and Principe2015,0.6669289672933164
294,70.13,71.6,Saudi Arabia2015,0.3908646999036325
295,64.58,82.9,Senegal2015,0.6442420347266123
296,76.81,73.8,Serbia2015,0.3639392208592283
