Unnamed: 0,EPI,FSI,country,fragile,countrycode
92,63.47,74.9,Morocco,0.8335228287487277,MAR
93,46.37,89.0,Mozambique,0.9517018844994788,MOZ
94,45.32,95.7,Myanmar,0.9576180037545636,MMR
95,58.46,70.4,Namibia,0.8447805150973092,NAM
96,31.44,91.0,Nepal,0.9588006850780668,NPL
97,75.46,27.4,Netherlands,0.35422694384425163,NLD
98,75.96,22.6,New Zealand,0.3277812092795872,NZL
99,55.04,77.4,Nicaragua,0.8988376273755238,NIC
100,35.74,97.4,Niger,0.9555796736850186,NER
101,54.76,101.6,Nigeria,2.112807287668019,NGA
102,77.49,20.5,Norway,0.3248070958597972,NOR
103,51.32,52.5,Oman,0.4892760094087844,OMN
104,37.5,98.9,Pakistan,0.9583339918468544,PAK
105,62.71,50.7,Panama,0.4889537426383296,PAN
106,53.93,71.6,Paraguay,0.7545334025114961,PRY
107,61.92,70.3,Peru,0.7311967639199483,PER
108,57.65,84.4,Philippines,1.116217577786295,PHL
109,64.11,40.8,Poland,0.4177902721065072,POL
110,71.91,29.0,Portugal,0.3489799866465041,PRT
111,67.8,44.0,Qatar,0.42354481002459293,QAT
112,64.78,50.9,Romania,0.4843278402812014,ROU
113,63.79,79.2,Russia,0.8477858348351391,RUS
114,43.68,90.8,Rwanda,0.9494803153780432,RWA
115,57.47,71.2,Saudi Arabia,0.7097044621295832,SAU
116,49.52,82.3,Senegal,0.945099084650498,SEN
117,57.49,70.0,Serbia,0.7623781940605422,SRB
118,42.54,89.3,Sierra Leone,0.954698265989608,SLE
119,64.23,32.5,Singapore,0.3620416410606531,SGP
120,67.57,32.4,Slovenia,0.3723089331725187,SVN
121,44.73,72.3,South Africa,0.9587156386198844,ZAF
122,62.3,38.1,South Korea,0.3807834975206398,South Korea
123,78.39,37.9,Spain,0.4010155611013331,ESP
124,60.61,86.6,Sri Lanka,1.1756862878591137,LKA
125,51.49,110.6,Sudan,2.9845600380523565,SDN
126,54.2,65.9,Suriname,0.6840115830002249,SUR
127,40.32,88.8,Swaziland,0.9667612630228041,SWZ
128,80.51,22.1,Sweden,0.3294876069101191,SWE
129,87.42,21.1,Switzerland,0.3252509919949855,CHE
130,47.85,81.8,Tajikistan,0.96422673001614,TJK
131,50.83,80.3,Tanzania,1.1360723672840327,TZA
132,49.88,76.2,Thailand,0.9519356943448102,THA
133,49.54,90.5,Timor-Leste,0.9532678160662108,TLS
134,41.78,83.9,Togo,0.948570860998777,TGO
135,67.36,56.7,Trinidad and Tobago,0.5477658325635258,TTO
136,62.35,74.2,Tunisia,0.7883766786139869,TUN
137,52.96,80.8,Turkey,0.9240164773913808,TUR
138,66.1,74.4,Turkmenistan,0.7683203513962383,TKM
139,44.28,96.0,Uganda,0.9530736307224104,UGA
140,52.87,74.0,Ukraine,0.7625797492586326,UKR
141,58.9,43.7,United Arab Emirates,0.4219327160927952,ARE
142,79.89,33.2,United Kingdom,0.3822623963775284,GBR
143,71.19,35.6,United States,0.3917273166883051,USA
144,64.65,36.8,Uruguay,0.3893012727688939,URY
145,45.88,81.5,Uzbekistan,0.9655647995898125,UZB
146,63.89,82.9,Venezuela,1.02161931793759,VEN
147,50.97,87.8,Zambia,1.455184411981833,ZMB
148,43.41,101.6,Zimbabwe,0.963793159498198,ZWE
