,EPI,FSI,country,fragile,fragile
93,46.37,89,Mozambique,0.951701884,0.951701884
132,49.88,76.2,Thailand,0.951935694,0.951935694
82,49.21,88,Malawi,0.952472306,0.952472306
31,65.22,78.9,Colombia,0.952575919,0.952575919
139,44.28,96,Uganda,0.953073631,0.953073631
133,49.54,90.5,Timor-Leste,0.953267816,0.953267816
25,40.81,95.6,Cameroon,0.953632373,0.953632373
58,51.51,79.1,Honduras,0.953739593,0.953739593
71,47.25,96.4,Kenya,0.954027792,0.954027792
84,43.71,92.9,Mali,0.954383995,0.954383995
48,45.05,73.8,Gabon,0.954433332,0.954433332
118,42.54,89.3,Sierra Leone,0.954698266,0.954698266
33,45.25,96.5,Cote d'Ivoire,0.954710659,0.954710659
3,37.44,91.1,Angola,0.95537689,0.95537689
100,35.74,97.4,Niger,0.955579674,0.955579674
94,45.32,95.7,Myanmar,0.957618004,0.957618004
104,37.5,98.9,Pakistan,0.958333992,0.958333992
121,44.73,72.3,South Africa,0.958715639,0.958715639
96,31.44,91,Nepal,0.958800685,0.958800685
49,42.42,89.4,Gambia,0.9595953,0.9595953
45,44.78,101.1,Ethiopia,0.959774566,0.959774566
77,41.62,93.8,Liberia,0.95981749,0.95981749
86,39.24,93.7,Mauritania,0.960039427,0.960039427
64,43.2,105.4,Iraq,0.961491528,0.961491528
148,43.41,101.6,Zimbabwe,0.963793159,0.963793159
130,47.85,81.8,Tajikistan,0.96422673,0.96422673
39,40.04,88.9,Djibouti,0.964895623,0.964895623
57,33.74,105.3,Haiti,0.964913174,0.964913174
145,45.88,81.5,Uzbekistan,0.9655648,0.9655648
28,45.34,109.4,Chad,0.966090265,0.966090265
18,41.84,73,Bosnia and Herzegovina,0.966304371,0.966304371
0,37.74,107.3,Afghanistan,0.966530659,0.966530659
55,46.62,102.4,Guinea,0.966684166,0.966684166
127,40.32,88.8,Swaziland,0.966761263,0.966761263
23,27.43,98.9,Burundi,0.967672392,0.967672392
27,36.42,112.6,Central African Republic,0.972452702,0.972452702
146,63.89,82.9,Venezuela,1.021619318,1.021619318
63,58.16,85.8,Iran,1.043756911,1.043756911
54,52.33,83.1,Guatemala,1.089932041,1.089932041
108,57.65,84.4,Philippines,1.116217578,1.116217578
131,50.83,80.3,Tanzania,1.136072367,1.136072367
124,60.61,86.6,Sri Lanka,1.175686288,1.175686288
75,61.08,88.2,Lebanon,1.198628269,1.198628269
42,61.21,89.8,Egypt,1.248867317,1.248867317
147,50.97,87.8,Zambia,1.455184412,1.455184412
101,54.76,101.6,Nigeria,2.112807288,2.112807288
125,51.49,110.6,Sudan,2.984560038,2.984560038
