,DP,EI,Economy,FE,FSI,GG,HFBD,HR,PS,RI,SA,SL,country
56,5.8,7.3,6.0,5.1,71.3,6.7,9.4,3.5,6.2,3.8,6.4,5.4,Guyana
57,9.5,10.0,8.7,9.6,105.3,6.5,8.8,7.6,9.7,7.7,7.7,9.7,Haiti
58,6.3,7.5,6.4,6.8,79.1,5.9,6.4,6.9,6.8,4.3,7.3,6.8,Honduras
59,1.8,3.9,5.4,5.3,52.0,4.8,3.3,5.2,3.2,6.5,2.7,6.1,Hungary
60,1.6,4.1,3.3,1.8,22.5,1.3,2.8,1.0,1.2,2.0,1.0,1.3,Iceland
61,7.9,5.4,5.1,7.3,77.9,8.3,6.1,6.0,7.4,5.3,7.4,4.7,India
62,6.6,5.2,4.5,7.0,72.9,7.1,6.9,7.2,5.9,5.4,6.2,5.1,Indonesia
63,4.9,6.5,6.4,9.6,85.8,9.3,6.5,9.5,4.5,6.5,7.5,9.0,Iran
64,8.6,9.7,6.6,9.6,105.4,9.6,7.7,8.7,8.2,9.9,10.0,9.5,Iraq
65,1.7,1.4,3.4,1.5,22.3,1.4,2.8,1.4,1.4,2.0,2.1,1.0,Ireland
66,4.3,2.5,5.4,4.9,45.2,4.8,2.0,2.0,2.7,5.5,4.5,3.7,Italy
67,5.2,5.8,6.9,3.7,65.2,3.4,8.4,5.5,6.4,3.1,6.9,4.8,Jamaica
68,6.0,3.8,4.1,2.6,37.4,3.7,3.2,3.0,2.2,4.4,1.6,1.2,Japan
69,6.5,7.6,6.4,6.9,78.7,8.0,4.2,7.9,4.2,9.6,5.7,6.3,Jordan
70,4.5,4.2,6.4,7.6,65.9,7.6,3.6,7.3,4.0,3.0,5.2,8.3,Kazakhstan
71,8.9,8.1,6.9,8.9,96.4,8.9,7.6,7.0,8.0,8.3,8.3,7.6,Kenya
72,5.0,4.8,3.0,7.8,58.5,4.7,3.6,7.9,2.6,3.5,4.2,7.2,Kuwait
73,7.3,6.1,5.2,8.3,82.4,6.6,7.7,7.9,7.0,5.1,5.5,9.1,Laos
74,2.9,3.9,3.5,4.3,46.4,8.0,4.8,2.8,2.9,2.8,3.0,3.4,Latvia
75,5.6,9.1,6.4,9.3,88.2,8.5,5.0,7.4,5.7,9.3,8.7,7.6,Lebanon
76,8.5,7.8,8.1,7.3,81.7,3.9,8.0,5.0,8.1,4.8,6.2,5.9,Lesotho
77,9.0,9.3,8.1,8.3,93.8,5.8,7.2,6.5,9.3,8.7,6.4,6.8,Liberia
78,2.8,4.0,4.5,3.0,41.7,4.4,4.4,2.5,3.5,2.3,3.1,2.7,Lithuania
79,1.6,1.1,1.2,3.4,23.4,3.1,2.1,1.0,2.1,3.5,1.7,1.0,Luxembourg
80,3.3,6.0,5.8,7.3,66.1,6.9,5.2,3.8,3.9,7.3,5.6,5.8,Macedonia
81,9.1,6.8,7.6,7.8,84.0,4.1,6.7,5.6,9.1,3.9,7.1,7.1,Madagascar
82,9.7,8.2,8.4,8.1,88.0,5.6,7.9,6.2,8.6,5.8,4.8,6.4,Malawi
83,5.3,3.8,3.1,6.8,65.4,6.5,5.0,8.0,4.2,3.7,6.3,7.7,Malaysia
84,8.5,9.4,7.7,4.9,92.9,7.4,8.5,7.3,8.8,7.9,9.0,6.1,Mali
85,2.5,3.3,4.0,2.0,38.6,3.9,3.7,3.0,2.0,4.4,3.6,3.6,Malta
86,8.7,8.0,7.7,8.8,93.7,7.0,6.9,7.9,9.0,8.0,6.9,8.0,Mauritania
87,3.6,4.7,4.0,3.2,41.7,3.6,4.4,3.4,3.3,2.7,2.3,3.0,Mauritius
88,6.1,5.5,4.9,5.4,74.3,7.2,5.8,6.5,6.8,5.1,8.4,6.5,Mexico
89,4.8,7.4,6.4,8.3,72.0,7.3,6.6,4.9,4.9,3.9,6.1,6.6,Moldova
90,5.1,7.1,5.0,5.5,56.7,3.8,3.3,4.5,5.4,3.0,3.6,4.0,Mongolia
91,2.8,6.5,5.2,6.5,55.7,7.9,4.0,4.1,3.1,4.6,4.0,4.6,Montenegro
92,4.8,6.0,4.8,6.6,74.9,7.7,8.2,6.8,5.2,6.1,5.8,6.7,Morocco
93,9.9,8.0,8.0,6.6,89.0,5.4,8.0,5.6,9.7,5.8,6.7,6.5,Mozambique
94,6.8,7.3,5.9,8.3,95.7,9.7,6.4,8.9,8.5,8.7,8.9,8.6,Myanmar
95,7.6,6.4,6.8,3.5,70.4,5.8,7.1,3.8,7.4,5.0,5.5,3.3,Namibia
96,8.6,6.9,7.5,8.8,91.0,9.4,6.5,7.7,7.2,7.8,6.5,7.4,Nepal
97,2.5,1.2,2.7,3.1,27.4,4.5,2.6,1.0,1.0,3.8,1.5,1.3,Netherlands
98,2.1,1.2,3.6,1.4,22.6,3.6,2.1,1.0,1.4,1.8,1.2,0.9,New Zealand
99,5.3,7.3,5.7,7.1,77.4,6.5,8.1,5.2,6.7,4.0,5.6,7.9,Nicaragua
100,9.0,8.1,7.5,8.9,97.4,8.0,7.5,6.5,9.5,7.9,8.7,7.3,Niger
101,9.1,6.5,8.0,9.6,101.6,9.2,7.2,8.9,9.2,7.5,9.2,8.6,Nigeria
102,1.5,1.3,2.2,1.1,20.5,3.6,1.6,1.1,1.0,2.8,2.0,0.8,Norway
103,4.8,2.3,4.1,6.6,52.5,2.9,2.5,7.7,3.5,2.5,4.2,6.8,Oman
104,8.4,9.4,6.9,8.9,98.9,10.0,7.2,8.0,7.7,8.7,9.1,8.1,Pakistan
105,4.9,2.7,2.6,2.2,50.7,5.6,4.6,4.3,4.8,3.0,5.4,3.2,Panama
106,5.7,4.8,5.0,7.8,71.6,5.8,5.8,5.9,6.2,3.1,6.6,7.0,Paraguay
107,5.0,3.5,3.2,6.9,70.3,7.4,7.3,4.3,6.7,4.3,7.1,7.2,Peru
108,7.5,6.4,5.5,8.0,84.4,7.9,6.5,6.6,6.7,6.9,9.7,7.0,Philippines
109,3.0,2.9,3.6,4.2,40.8,5.4,4.5,3.2,2.3,3.6,1.8,3.3,Poland
110,2.1,2.8,5.3,2.5,29.0,2.5,2.2,1.8,2.2,2.2,1.3,1.6,Portugal
111,3.8,2.7,2.1,5.0,44.0,4.6,2.6,6.3,1.3,2.0,2.6,6.3,Qatar
112,3.2,3.6,4.7,5.4,50.9,6.8,4.5,3.7,3.8,2.8,3.0,5.2,Romania
113,4.6,5.7,5.2,8.1,79.2,8.8,4.0,9.2,4.2,5.8,8.9,8.5,Russia
114,8.0,7.5,6.0,8.0,90.8,9.4,7.4,7.2,7.4,8.3,6.2,7.1,Rwanda
115,5.3,4.7,4.5,8.2,71.2,7.8,3.8,9.1,3.8,4.7,6.3,8.0,Saudi Arabia
116,8.1,6.7,7.4,6.6,82.3,6.4,8.0,6.0,7.5,7.3,6.2,4.7,Senegal
117,4.3,6.2,6.4,8.0,70.0,7.3,5.3,4.4,4.2,8.4,5.5,5.2,Serbia
118,9.0,7.9,8.6,7.8,89.3,6.2,8.5,5.3,8.8,7.7,4.3,6.9,Sierra Leone
119,2.5,1.2,2.0,4.0,32.5,2.6,3.3,4.6,1.3,1.7,1.6,3.9,Singapore
120,2.3,2.3,3.8,1.7,32.4,4.5,3.1,1.5,1.5,4.0,1.6,2.7,Slovenia
121,7.2,3.0,7.1,6.1,72.3,6.7,5.5,4.2,7.0,5.4,6.1,6.5,South Africa
122,3.1,5.6,2.0,4.3,38.1,2.9,3.9,2.9,1.9,2.0,2.1,4.4,South Korea
123,2.0,1.8,5.2,6.3,37.9,5.7,1.9,1.8,2.2,1.9,2.8,2.8,Spain
124,6.2,6.3,5.4,8.8,86.6,9.0,7.7,8.3,5.1,8.4,7.4,6.9,Sri Lanka
125,9.3,9.7,8.5,9.7,110.6,10.0,8.9,9.6,8.9,9.8,9.0,9.8,Sudan
126,5.3,5.9,7.1,5.8,65.9,5.8,6.8,4.6,5.6,3.0,4.9,5.0,Suriname
127,9.4,7.1,9.7,6.8,88.8,3.4,7.2,9.1,8.1,4.7,6.3,8.8,Swaziland
128,2.0,1.1,1.8,1.8,22.1,1.5,1.5,1.1,1.1,5.3,2.1,1.0,Sweden
129,1.5,1.0,2.3,1.0,21.1,3.6,2.1,1.8,1.0,2.5,1.1,1.0,Switzerland
130,7.9,5.9,7.3,8.4,81.8,7.4,6.2,8.2,5.6,4.3,6.7,9.1,Tajikistan
131,8.7,7.2,6.2,5.7,80.3,5.2,7.6,5.9,8.6,6.7,5.5,5.9,Tanzania
132,6.4,3.8,3.3,9.4,76.2,8.5,4.7,8.0,4.4,5.9,9.0,7.5,Thailand
133,9.7,9.5,7.9,8.3,90.5,6.5,7.6,5.3,8.5,6.3,7.2,6.9,Timor-Leste
134,7.8,6.0,6.4,7.6,83.9,4.6,7.5,6.7,8.2,6.6,6.5,7.8,Togo
135,4.5,3.1,4.4,5.6,56.7,4.2,8.1,4.1,4.3,2.7,6.3,4.5,Trinidad and Tobago
136,4.2,6.4,6.7,7.8,74.2,7.7,6.1,6.5,4.4,4.7,8.3,6.5,Tunisia
137,4.9,5.4,4.6,9.1,80.8,10.0,3.9,7.7,4.4,9.2,8.3,7.6,Turkey
138,5.4,4.1,4.9,7.8,74.4,6.6,5.1,8.7,5.6,3.5,6.3,9.7,Turkmenistan
139,9.0,8.3,5.5,8.6,96.0,8.5,7.6,7.8,8.3,9.3,7.1,8.6,Uganda
140,4.2,8.6,6.8,8.0,74.0,6.7,5.2,6.2,3.7,4.6,7.6,8.2,Ukraine
141,4.0,2.4,2.4,3.6,43.7,3.4,2.5,7.8,2.2,2.2,3.1,6.7,United Arab Emirates
142,2.4,1.0,3.6,4.5,33.2,6.4,2.1,1.7,1.6,2.1,2.7,1.5,United Kingdom
143,2.8,1.2,2.4,5.3,35.6,6.0,1.7,3.2,1.6,2.0,3.2,1.9,United States
144,3.8,2.7,3.6,2.7,36.8,2.5,4.4,2.8,2.9,2.5,3.8,1.0,Uruguay
145,5.6,4.6,6.3,8.8,81.5,7.1,6.0,9.2,4.9,5.5,7.1,9.5,Uzbekistan
146,5.6,5.4,7.3,8.2,82.9,7.2,5.5,8.9,7.7,4.6,7.3,8.5,Venezuela
147,9.5,7.2,7.9,6.2,87.8,5.9,7.9,7.4,7.9,6.4,4.6,7.7,Zambia
148,9.1,7.5,8.6,9.8,101.6,7.3,7.9,8.2,8.9,8.5,8.1,9.2,Zimbabwe
