Rank,Country,EPI.2017,EPI.2016,EPI.2015,EPI.2014,EPI.2013,EPI.2012,EPI.2011,EPI.2010,EPI.2009,EPI.2008,EPI.2007
148,Laos,54.86,50.29,50.04,49.71,48.35,48.48,48.24,49.26,47.55,47.48,47.09
22,Latvia,42.94,85.71,85.93,86.03,85.1,85.39,84.74,84.27,82.98,83.26,83.81
94,Lebanon,66.12,69.14,66.46,66.49,67.78,68.59,67.49,67.16,65.76,65.37,65.44
157,Lesotho,61.08,47.17,46.52,45.38,43.23,43.65,44.3,45.1,43.54,43.46,42.95
167,Liberia,33.78,43.42,43.06,43.58,42,42.13,41.96,41.77,41.03,41.21,41.04
119,Libya,41.62,63.29,62.8,62.69,61.35,61.75,61.65,61.9,61.94,61.7,61.47
23,Lithuania,49.79,85.49,84.82,84.3,82.9,83.06,83.27,82.7,81.2,80.7,81.44
20,Luxembourg,69.33,86.58,86.31,86.34,86.12,87.9,86.28,86.24,84.63,85.9,86.18
50,Macedonia,79.12,78.02,75.52,74.71,73.52,76.03,74.35,73.89,72.85,73.11,72.91
178,Madagascar,61.06,37.1,36.56,36.58,35.13,34.85,34.5,34.52,34.36,34.65,34.61
151,Malawi,33.73,49.69,49.32,49.35,45.98,45.7,45.31,45.27,42.74,43.1,43.07
63,Malaysia,49.21,74.23,76.19,76.59,77.48,78.12,78.03,78.1,77.33,76.66,77.21
137,Maldives,59.22,57.1,56.65,56.91,57.08,56.57,56.49,55.86,55.21,55.19,54.19
174,Mali,52.14,41.48,41.4,41.26,38.92,38.94,38.35,38.83,38.63,38.35,38.32
9,Malta,43.71,88.48,89.91,89.76,87.52,87.21,86.02,86.25,86.83,86.65,86.51
160,Mauritania,80.9,46.31,45.9,45.96,43.74,43.95,43.36,43.62,43.5,43.51,43.58
77,Mauritius,39.24,70.85,72.17,71.23,71.17,71.71,72.12,72.68,73.92,74.32,73.85
67,Mexico,56.63,73.59,73.56,73.8,73.28,73.09,72.94,72.9,71.85,71.52,70.5
55,Moldova,59.69,76.69,75.81,75.05,74.22,75.16,75.32,74.81,73.28,72.93,73.63
114,Mongolia,49.8,64.39,66.84,67.37,65.36,63.87,62.87,62.4,61.08,61.1,62.48
47,Montenegro,51.97,78.89,77.47,75.94,75.57,76.72,76.5,75.6,74.73,74.74,75.16
64,Morocco,57.51,74.18,74.33,73.59,71.01,70.97,71.66,71.92,71.47,71.47,70.34
172,Mozambique,61.33,41.82,41.91,41.68,39.03,39.15,39.14,39.26,39.01,38.95,38.86
153,Myanmar,63.47,48.98,48.68,49.01,48.28,49.15,48.41,49.69,47.97,48.04,48.35
78,Namibia,46.37,70.84,71.21,71.21,69.09,69.81,69.56,68.77,68.03,68.27,67.63
149,Nepal,45.32,50.21,50.94,50.78,48.97,48.95,48.36,48.48,48.36,48.14,47.79
36,Netherlands,58.46,82.03,82.84,80.77,80.41,80.82,81.29,80.49,79.47,79.86,80.02
11,New Zealand,31.44,88,89.73,89.87,89.85,90.11,90.14,86.1,86.21,85.96,85.76
115,Nicaragua,75.46,64.19,64.44,64.58,63.33,63.54,63.12,63.39,62.51,62.62,62.6
177,Niger,75.96,37.48,37.35,37.01,35.2,35.05,34.79,34.89,34.89,34.91,34.91
133,Nigeria,55.04,58.27,58.27,57.87,55.07,55.29,54.94,55.34,53.23,52.87,53.1
17,Norway,35.74,86.9,87.78,87.69,87.46,87.28,87.19,87.04,86.94,86.97,86.38
126,Oman,54.76,60.13,60.02,60.21,59.22,58.72,58.64,58.94,58.4,58.57,58.67
144,Pakistan,77.49,51.42,52.71,52.75,51.02,51.3,51.24,51.24,50.12,50.16,50.21
51,Panama,51.32,78,79.49,79.18,77.9,77.75,77.93,78.1,77.26,77.55,77.49
156,Papua New Guinea,37.5,48.02,47.44,47.65,45.73,45.64,45.53,45.98,42.41,42.44,42.66
82,Paraguay,62.71,70.36,70.13,70.02,68.92,69.1,68.79,68.45,67.6,67.33,67.58
73,Peru,39.35,72.95,72.94,72.67,71.81,71.9,71.42,71.4,71.37,71.35,71.23
66,Philippines,53.93,73.7,74.04,73.69,72.16,72.34,71.77,71.62,71.82,71.74,71.86
38,Poland,61.92,81.26,80.09,78.92,77.96,79.14,78.66,78.54,78.38,78.51,78.58
7,Portugal,57.65,88.63,88.71,88.86,88.46,88.03,87.68,87.42,86,85.99,84.8
87,Qatar,64.11,69.94,69.06,68.97,69.02,69,68.88,68.9,70.28,69.11,70.67
34,Romania,71.91,83.24,82.12,80.61,79.24,79.31,79.54,79.09,76.87,75.85,74.5
32,Russia,67.8,83.52,83.06,82.57,81.73,82.15,81.94,81.86,80.27,80.44,81.57
147,Rwanda,42.39,50.34,50.97,50.88,49.71,50.16,50.04,50.23,49.72,49.2,49.19
85,Samoa,64.78,70.2,69.6,69.63,68.18,68.33,67.38,67.11,67.42,67.93,67.99
154,Sao Tome and Principe,63.79,48.28,48.77,48.32,45.63,45.51,45.5,44.79,39.6,41.32,39.84
95,Saudi Arabia,43.68,68.63,70.13,70.12,69.25,69.45,69.6,69.58,70.65,70.83,70.66
117,Senegal,56.18,63.73,64.58,64.41,63.72,64.32,64.08,64.08,63.11,63.28,62.89
48,Serbia,66.48,78.67,76.81,75.63,73.38,75.06,75.38,75.07,73.06,73.43,73.26
112,Seychelles,54.5,64.92,64.34,66.78,67.22,67.57,67.44,67.59,67.59,67.72,67.3
