,country,FSI,EPI,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1
221,Gabon2015,71.2,63.85,5,7.1,3.7,4.8,6.9,5.5,7.4,6.8,6.9,7.1,5,5.1
222,Georgia2015,79.2,65.53,7.3,9.1,7.8,5.8,5.9,5.4,8.8,4.8,5.8,3.9,7.4,7.3
223,Germany2015,28.1,65.56,2.1,2,4.6,2.9,3.3,2.1,1.2,1.6,1.5,2.5,3,1.3
224,Ghana2015,71.8,65.77,4.1,4.9,4.6,6.3,7.1,7.6,5,7.9,5.2,7.1,5.5,6.6
225,Greece2015,52.6,65.04,4.5,3.7,5,6.5,4.2,3.8,6.5,3.9,3.4,3.6,1.6,5.9
226,Grenada2015,63.5,65.45,5.6,5.6,3.8,5.9,5.3,8.4,5.9,3.7,3.7,5.2,3.2,7.1
227,Guatemala2015,80.4,65.38,7,6,7.9,6,8,6.7,6.6,7.4,6.6,7.3,5.5,5.4
228,Guinea2015,104.9,65.22,8.9,9.6,8.7,9.2,7.6,7.2,9.9,9.8,8.2,9,8.7,8.1
229,Guyana2015,70.5,65.43,5.8,5.1,6.5,6.2,6.2,9.1,5.9,6.1,3.9,5.6,3.6,6.5
230,Haiti2015,104.5,83.4,7.5,9.1,6.7,9.1,9.3,9.3,9.4,9.1,7.4,9.5,8.2,9.9
231,Honduras2015,78.1,82.52,6.7,6.6,6.4,6.3,7.7,6.9,6.7,6.7,6.3,6.8,3.7,7.4
232,Hungary2015,49.1,80.77,2.4,5.3,4.7,5.9,4.3,3.3,6.6,3.3,4.5,2.3,2.5,4
233,Iceland2015,23.4,80.34,1,1.8,1.3,3.6,1.6,2.8,0.9,1.7,1.1,1.6,1.4,4.6
234,India2015,79.3,80.94,7.9,7.3,8.3,5.6,7.5,5.5,5.2,7.5,5.9,8,5.4,5.3
235,Indonesia2015,75,80.62,6.2,7,7.3,5.2,6.3,6.3,5.6,6,6.8,7.1,5.9,5.3
236,Iran2015,87.1,79.75,8,9.4,8.5,6.9,6.1,6.2,8.9,5,9.3,5.4,6.5,7
237,Iraq2015,104.4,72.7,10,9.6,10,6.9,7.8,8.1,9.2,7.5,8.9,8.2,8.9,9.4
238,Ireland2015,24.6,72.99,1.8,1.3,1.9,4.1,2.7,2.8,1.5,1.9,1.2,2.2,1.4,1.9
239,Italy2015,43.2,73.16,4.4,4.9,4.9,5.6,3.4,2,4.2,2.3,2.5,3.1,3.7,2.2
240,Jamaica2015,64.6,43.71,6.3,3.7,3.9,7.1,5.9,7.8,5.3,5.8,4.9,5.2,3,5.7
241,Japan2015,36,43.76,1.4,2.6,4.2,4.6,1.9,2.6,1.7,2.1,3.4,4.8,3.1,3.6
242,Jordan2015,76.9,43.71,5.5,6.9,7.7,6.3,5.9,3.6,6.1,4.7,7.6,7,8.8,6.8
243,Kazakhstan2015,68.3,42.08,5.7,7.6,7,6.5,4.7,3.6,8,4.5,7.5,5,3.5,4.7
244,Kenya2015,97.3,42.46,8.4,8.9,9,7.5,8.3,7.5,8.1,7.9,6.5,9,8.3,8
245,Kuwait2015,57.5,42.38,3.9,7.5,4.7,3,4.7,3.1,7.3,2.5,7.3,5.1,4,4.4
246,Kyrgyz Republic2015,82.2,42.1,6.8,8,8.4,7,6.4,6.4,7.8,5.6,7.2,5.9,5.8,6.9
247,Laos2015,84.4,40.73,6,8.3,6.3,5.5,6.9,7.4,9,7.7,8.1,7.1,5.6,6.6
248,Latvia2015,48.5,40.45,3.5,4.3,7.4,4,4.6,4.4,3.9,3.4,3,3.4,2.9,3.8
249,Lebanon2015,88.1,40.3,8.8,9.3,8.6,5.9,5.7,5.4,7.8,5.4,7.2,5.7,9.1,9.2
250,Lesotho2015,79.9,43.37,5.6,7.3,4.4,8.3,7.3,7.4,6.4,8,4.8,7.7,4.9,7.8
251,Liberia2015,97.3,42.76,6.9,8.3,6.2,8.6,8.3,6.6,7.3,9.7,6.7,9.5,9.2,10
252,Libya2015,95.3,42.37,9.3,9.1,7.8,8,6.1,6.4,9.8,7.5,9,5.4,7.4,9.5
253,Lithuania2015,43,40.7,3,3,4.3,5,5,4.2,3.2,4,2.4,3.3,2.6,3
254,Luxembourg2015,22.1,41.61,2,3.4,3.1,1.5,1.5,2.1,1.3,1.3,1,1.7,1.7,1.6
255,Macedonia2015,64.5,41.59,5.4,7,7,5.7,5.6,5.5,5.5,4.4,3.9,3.3,5.3,5.9
256,Madagascar2015,83.6,41.9,7.1,7.6,4.6,7.6,8.5,6.1,7.2,9.1,6.1,8.5,3.9,7.3
257,Malawi2015,86.9,40.49,4.8,7.7,5.4,8.6,8.4,8.1,6.9,7.8,6.2,8.8,6.1,8.1
258,Malaysia2015,65.9,40.74,6.8,6.5,6.2,3.6,5.3,4.5,6.9,4.7,7.2,5.8,4.2,4.2
259,Maldives2015,74.3,40.69,6.1,7.8,4.6,6.4,4.1,5.6,8.5,6.1,7.5,5.8,4.7,7
260,Mali2015,92.9,51.24,8.7,4.9,7.6,8.2,7.4,8.4,6,9,6.7,9.1,7.8,9.3
261,Malta2015,40.9,51.42,3.4,2,3.9,4.2,2.9,4,3.9,2.3,3.3,2.8,4.6,3.6
262,Mauritania2015,94.9,51.24,7.4,8.8,6.9,8,7.1,6.3,7.9,8.9,8,8.6,8.5,8.5
263,Mauritius2015,45.2,49.59,2.8,3.2,3.8,4.7,4.3,4.2,3.5,3.8,3.4,4.1,2.2,5.2
264,Mexico2015,71.9,50.16,8,5.1,6.4,4.6,6.6,5.8,5.9,6.8,6.5,6.2,4.4,5.5
265,Moldova2015,73,49.65,6.6,7.8,6.5,6.3,5.3,6.4,6.3,5.4,5.4,5.3,4.4,7.3
266,Mongolia2015,57,49.43,4,5.5,4.3,4.3,6.4,3.1,4.5,5.7,4.8,5.5,2.4,6.5
267,Montenegro2015,54.2,47.69,4,6.3,7.3,4.6,2.9,3.6,4,3.6,4.2,3.3,4.5,5.9
268,Morocco2015,74.6,47.2,5.7,6.6,7.1,5.3,6.3,7.6,6.5,5.7,7,5.5,5.3,6
269,Mozambique2015,86.9,47.03,7,6.9,5.9,7.8,8.6,7.4,7.2,9,6.1,8.7,5,7.3
270,Myanmar2015,94.7,57.13,8.3,8.3,9.7,6.5,8.2,5.7,9,8.6,8.3,6.8,8.3,7
271,Namibia2015,70.8,57.33,4.9,3.5,5.9,7.1,8.1,6.5,3.8,7.3,4.3,7,5.5,6.9
272,Nepal2015,90.5,57.15,7,8.3,9.1,6.8,7.5,7,7.1,7.1,7.7,7.9,7.6,7.4
273,Netherlands2015,26.9,54.49,1.8,2.6,3.9,3.4,2.7,2.6,1,1.5,1,3,2.1,1.2
274,New Zealand2015,22.6,54.77,1.1,1.1,4.1,3.9,2.8,2.1,0.5,1.9,1,1.9,1.1,1.1
275,Nicaragua2015,79,52.28,5.6,6.8,6.5,6.2,7.9,8.1,7.3,7.2,5.3,6.2,4.6,7.3
276,Niger2015,97.8,52.15,8.7,8.9,7.5,8.2,8.4,6.9,7.5,9.3,6.8,9.6,7.9,8.1
277,Nigeria2015,102.5,49.89,9.9,9.8,9.9,7.6,8.8,7.1,9.1,9.1,8.8,8.8,7.5,6
278,Norway2015,20.9,49.64,2.5,1.1,3.7,1.7,2,1.6,0.4,1.4,1.3,2,1.9,1.2
279,Oman2015,52,49.42,4.7,6.6,3,4.5,4.2,1.9,6.6,3.8,7.5,5,2,2.2
280,Pakistan2015,103,85.06,9.6,9.2,10,7.7,7.3,7,8.6,7.9,8.4,9,8.9,9.3
281,Panama2015,54.6,85.06,5.1,2.5,5.6,3.4,7.3,4,4,5.5,4.8,5.7,3.5,3.2
282,Papua New Guinea2015,83.4,84.6,6.9,7.1,6.3,6.2,9,7.1,6.9,8.7,6.6,7.3,4.6,6.7
283,Paraguay2015,71.3,84.56,6.5,7.8,5.9,5.1,8.4,5.2,7.1,6.7,6.1,5.9,2.2,4.4
284,Peru2015,72,84.61,7.1,6.7,7.5,3.7,7.3,6.7,7.1,7.1,4.6,5.3,4.8,4
285,Philippines2015,86.2,84.34,9.1,8,8.3,6,6.2,6.2,7.5,7.2,5.9,8.2,7.4,6.3
286,Poland2015,39.8,83.95,2.3,3.8,4.4,4.1,3.5,4.4,3.2,2.8,2.5,3.3,2.8,2.7
287,Portugal2015,29.7,83.16,1.6,1.8,2.6,5.1,2.9,2.2,1.8,2.7,2.3,2.6,1.6,2.5
288,Qatar2015,46.3,82.71,2.5,5,4.6,2.6,5.2,3.1,6,1.8,6.2,4.3,1.8,3.2
289,Romania2015,54.2,82.57,3.5,5.2,6.8,5.2,4.7,4.5,5.6,4.3,3.9,3.7,2.7,4.1
290,Russia2015,80,51.98,9.1,8.1,9.3,4.4,6.4,4.5,7.9,4.7,8.9,5.1,5.7,5.9
291,Rwanda2015,90.2,51.75,6.2,8,8.8,6.3,8.2,7.5,6.5,7.3,7.7,8,7.9,7.8
292,Samoa2015,68.2,51.14,5.2,5.1,4.5,6.5,5.4,8.9,6.2,5,4.5,6.2,2.1,8.6
293,Sao Tome and Principe2015,73.7,50.65,5.5,6.3,4.5,8.4,6.5,7.9,6.1,5.8,3.8,6.7,4.3,7.9
294,Saudi Arabia2015,71.6,51.37,6.4,8,7.4,4.4,5.8,3.7,7.8,3.7,9.2,5.8,4.6,4.8
295,Senegal2015,82.9,52.17,6.2,6.6,6.3,7.3,7.3,7.4,5.5,7.9,6.2,8,7.8,6.5
296,Serbia2015,73.8,52.25,6,8,8.1,6.7,5.3,5.3,5.7,4.7,4.9,5.5,7,6.6
297,Seychelles2015,62.1,51.12,6.6,5.7,4.5,4.6,6,5.5,5.7,3.2,4.6,5.1,3.1,7.5
298,Sierra Leone2015,91.9,51.44,4.8,7.7,6.2,8.7,8.8,8.4,6.9,9.3,5.6,9.5,8.2,7.8
299,Singapore2015,34.4,51.52,1.6,4,3.1,2.5,4,3.3,3.8,1.8,4.6,2.9,1.1,1.7
300,Slovenia2015,31.5,46.46,2.1,1.6,3.9,4.2,3.9,2.8,2.6,2,2,2.8,1.4,2.3
301,Solomon Islands2015,85.9,46.69,6.4,8.2,6.5,7.6,8.9,6.3,7.3,7.6,5.7,8.5,4.9,8
302,Somalia2015,114,46.54,9.7,10,9.5,9.1,9,9.2,9.3,9.3,10,9.6,9.8,9.5
303,South Africa2015,67,44.43,5.3,5.6,5.5,6.3,7.4,4.9,5.3,6.4,4.3,7,5.9,3.1
304,South Korea2015,36.3,44.48,2.1,3.8,3.4,2,3.5,3.5,3.3,2.4,2.6,2.8,1.5,5.4
305,Spain2015,40.9,43.84,3.3,6.1,5.8,5,4,2.4,3.3,2.7,1.9,2.5,1.7,2.2
306,Sri Lanka2015,90.7,44.06,7.9,9.1,9.3,5.9,7.6,7.8,8,5.6,8.8,6,8.2,6.4
307,Sudan2015,110.8,45.47,9.5,9.8,9.7,8.6,7.9,8.8,9.6,8.8,9.6,8.7,10,9.8
308,Suriname2015,68.4,45.34,5.4,5.8,5.8,6.8,6.6,7.3,5.5,5.8,4.9,5.3,3,6.2
309,Swaziland2015,86.2,45.22,6,6.8,3.7,9.3,8.1,6.9,8.5,7.5,8.5,8.5,4.9,7.6
310,Sweden2015,20.2,37.83,2.1,1.8,1.3,2.3,1.8,1.5,1,1.6,1,2.5,2.3,1
311,Switzerland2015,22.3,37.86,1.4,1,3.6,2,2.7,2.1,1,1.4,1.8,1.9,2.1,1.3
312,Syria2015,107.8,37.81,10,9.9,10,7.5,7,7.4,9.9,8.2,10,8.1,10,9.9
313,Tajikistan2015,83.4,35.89,6.8,8.4,7.3,7.4,5.6,6.3,9.1,5.9,7.6,7.8,4.8,6.4
314,Tanzania2015,80.8,36.72,5.5,5.7,5.7,6.7,7,7,6,8.7,6,8.8,6.4,7.3
315,Thailand2015,79.1,36.58,8.9,10,8.5,4,5.8,4.1,8,4.9,7.7,6.9,6,4.3
316,Timor-Leste2015,90.5,36.53,7.7,8.3,6.5,8.4,6.7,7,7.4,8.4,5.8,8.9,6.8,8.7
317,Togo2015,86.8,36.04,7,7.6,4.5,6.8,8.1,7.3,8.1,8.6,7.2,8,7.1,6.5
318,Trinidad and Tobago2015,58.7,35.89,5.7,5.6,4.1,4.3,5.5,7.5,5,4.8,4.6,5,3,3.6
319,Tunisia2015,75.7,35.74,7.8,8.1,7.8,6.6,5.4,5.5,7,4.9,7,4.7,4.1,6.9
320,Turkey2015,74.6,77.67,7.7,7.3,9,5,6.2,3.7,6.3,4.9,6.4,5.5,7.5,5
321,Turkmenistan2015,77.4,78.6,6.8,7.8,7.1,5,6.9,5.1,9.7,6.1,8.8,5.7,3.9,4.6
322,Uganda2015,97,78.43,7.6,8.9,8.7,7,7.3,7.3,8,8.3,7.9,8.9,8.8,8.3
323,Ukraine2015,76.3,78.33,7.9,8,7,6.5,4.7,5.5,8.5,3.8,6.4,4.5,4.4,9.1
324,United Arab Emirates2015,46.2,79.23,3.1,3.6,3.9,2.9,4.2,2.5,6.6,2.7,7.1,4.5,2.2,2.9
325,United Kingdom2015,33.4,78.71,2.5,3.5,5.6,3.9,3.7,2.1,2,2.1,1.8,2.6,2.4,1.2
326,Uruguay2015,36.4,78.88,3.7,2.7,3,3.2,4.2,4.4,1.4,3.4,2.2,3.5,1.9,2.9
327,Uzbekistan2015,85.3,78.01,7.6,8.8,7.6,6.8,7,6.3,9.6,5.4,9.1,6.1,6,5.1
328,Venezuela2015,78.7,77.92,6.5,8.1,7.3,6.5,6.7,5.2,8.6,7.2,8.3,5.1,4.8,4.3
329,Yemen2015,108.2,78.26,10,9.4,9.4,9.3,8.1,7.5,9.3,8.2,9.1,9.2,9.1,9.5
330,Zambia2015,85.1,65.1,5,5.7,5.7,7.7,8.6,7.8,7.4,7.6,6.8,9.4,6.9,6.6
331,Zimbabwe2015,100,66.26,7.9,9.7,7.8,8,8.1,8,9,8.5,8.3,8.7,8.4,7.6
332,Afghanistan2014,106.5,66.17,10,9.4,8.7,8.3,7.5,7.8,9.5,9,8.3,8.8,9.3,9.9
333,Albania2014,63.6,65.21,5,6.2,4.7,5.5,4.5,6.9,6.5,4.8,5.5,4.4,3.4,6.2
334,Algeria2014,78.8,65.44,7.5,7.3,7.9,6.1,5.9,5,7.5,6.1,7.4,5.7,6.7,5.7
335,Angola2014,87.4,65.25,5.8,7.2,7.1,5.4,9.5,6,8,9.1,7,9,7.5,5.8
336,Antigua and Barbuda2014,59,65.28,4.9,3.7,4.1,4.5,5.3,7.6,5.8,4.1,4.7,4.9,3.3,6.1
337,Argentina2014,47.3,64.15,3.3,2.8,5.3,4.3,5.7,2.7,4.3,4.1,4.4,4.2,2.3,3.9
338,Armenia2014,71.3,64.2,5.6,7.4,5.7,5.8,5.3,5.7,6.7,4.4,6.8,4.7,6.7,6.5
339,Australia2014,26.3,64.24,2,1.6,3.9,2.4,3,0.9,1,2.1,2.3,3.4,2.4,1.3
340,Austria2014,28.5,75.93,1.4,2.7,4.6,2.2,3.7,1.8,1.6,1.8,2,2.7,2.3,1.7
341,Azerbaijan2014,77.8,77.81,7,7.9,6.7,4.4,6.2,4.7,8.3,5.3,7.7,5.4,7.6,6.6
342,Bahrain2014,64.7,77.86,6.2,7.1,7.6,3.5,5.4,3.3,7.9,2.5,7.8,4.9,2.9,5.6
343,Bangladesh2014,92.8,77.14,7.8,9.3,8.7,7,7.5,7.2,8.4,8.4,8,7.6,6.9,6
344,Barbados2014,51.4,77.11,4.2,4.2,4.4,5.8,5.4,5.9,3.3,3,2.8,4.1,3,5.3
345,Belarus2014,75,76.7,6.1,8.3,7.1,6,5.5,3.7,8.8,5,8.1,5.5,3.6,7.3
346,Belgium2014,32,77.29,2.3,3.9,4.2,4,3.5,1.9,2,2.4,1.5,2.8,1.6,1.9
347,Belize2014,67,78.64,5.5,4.3,4.4,5.6,6.5,6.8,6,6.1,4.4,6.2,4.6,6.6
348,Benin2014,78.2,78.45,5.9,6.1,3.6,6.9,7.2,6.5,6.1,8.7,5.1,8.2,6.3,7.6
349,Bhutan2014,80.9,78.2,5.3,7.5,7.6,6,7.2,7.1,5.5,6.6,7,6.3,7.2,7.6
350,Bolivia2014,78.9,49.2,6.4,8,6.8,5.9,8.6,6.1,6.9,7,6,6.6,4.3,6.3
351,Bosnia and Herzegovina2014,75.9,48.73,6.5,8.7,7.4,5.5,5.9,5.8,6.8,4.4,6.1,4.1,6.8,7.9
352,Botswana2014,64.5,48.77,3.2,3.3,5.1,6.4,7.8,5.3,4.1,6.3,4.6,8,5.5,4.9
353,Brazil2014,61.4,46.11,5.6,4.9,5.6,3.6,8,3.8,5.4,5.6,5.6,6.7,3.6,3
354,Brunei Darussalam2014,63.6,46.44,5.6,7.4,6.2,3.1,7.8,4.9,7.1,2.5,7.4,4.5,3,4.1
355,Bulgaria2014,54.4,46.46,4.4,5.3,4.9,5.2,4.8,4.9,4.9,4.1,3.7,4.1,3.4,4.7
356,Burkina Faso2014,89,46.8,6.9,7.3,5.3,7.4,8.1,6.6,7.8,8.8,6.5,9,7.6,7.7
357,Burundi2014,97.1,46.04,7.4,7.9,8.1,8.8,7.5,6.5,8.1,8.6,8,8.7,9,8.5
358,Cambodia2014,88.5,46.05,6.3,8.6,7.3,6.1,7.4,7.2,8.4,8,7.9,7.5,6.1,7.7
359,Cameroon2014,93.1,40.42,7.7,9.5,7.8,5.9,7.5,7.5,8.2,8.5,8.3,8.1,7.6,6.5
360,Canada2014,27.4,80.03,2.1,2.5,3.4,2.1,3.2,2.2,1.2,2.3,2.1,2.7,2.3,1.3
361,Cape Verde2014,74.1,80.98,5.7,5.5,4.2,6.2,7.2,8.6,6,6.8,4.8,6.8,4.4,7.9
362,Central African Republic2014,110.6,81.07,9.9,9.7,9.5,7.8,9.4,7,9.5,9.7,9.5,8.7,10,9.9
363,Chad2014,108.7,80.4,9.1,9.8,8.5,7.7,8.8,8.3,9.4,10,9.5,9.6,9.8,8.2
364,Chile2014,42,80.85,2.8,1.7,3.8,3.9,5.4,2.9,3.3,4.2,3.7,4.6,2.6,3.1
365,China2014,79,80.81,6.2,7.2,8.6,3.9,7.7,4.8,7.9,6.5,9.1,7.7,5.9,3.5
366,Colombia2014,83.1,80.92,7,7.7,7.7,4.1,7.8,7,7.4,6.3,7.1,6.2,8,6.8
367,Comoros2014,85.1,76.39,7.5,7.5,5.3,8.3,6.7,7.5,7.1,8.2,6.9,7.3,4.8,8
368,Costa Rica2014,48.5,76.55,2.8,3.8,4.4,4.6,5.8,3.2,3.2,4.8,2.3,4.6,4.4,4.6
369,Cote d'Ivoire2014,101.7,76.13,8.8,9.4,9,7.4,7.6,7,8.8,8.7,8.7,7.8,9.1,9.4
370,Croatia2014,52.9,59.89,4.5,4.4,5.6,5,4.1,4.6,3.7,3.2,4.4,3.5,5.2,4.7
371,Cuba2014,70.8,59.89,6,7.2,4.8,4.8,5.9,6,6.8,4.9,7,5.9,5,6.5
372,Cyprus2014,67.9,59.79,4.7,7.9,7.3,6.4,6.7,4.8,5.6,3.3,3.6,4.3,4.2,9.1
373,Czech Republic2014,39.4,58.37,2.3,4.3,3.8,4.8,3.5,3.1,4.2,3.4,2.4,2.4,2.3,2.9
374,Denmark2014,22.8,58.46,1.8,1.4,3.4,2.2,1.8,2,0.8,1.7,1.6,2.8,1.4,1.9
375,Djibouti2014,87.1,58.48,6.9,7.6,6.4,7.2,7.5,5.5,7.9,7.7,6.9,8.1,7.4,8
376,Dominican Republic2014,73.4,58.43,4.9,6.5,6.1,5.5,6.6,7.9,5.7,6.5,5.8,6.5,5.6,5.8
377,Ecuador2014,77.3,58.38,6.4,8.2,7.5,5.6,7.1,6.5,6.9,6.6,5,5.9,5.7,5.9
378,Egypt2014,91,58.53,7.9,9.4,8.6,7.9,6.8,5.1,9,5.7,9.7,7.1,6.4,7.4
379,El Salvador2014,72,58.77,6.1,4.3,6,6.2,6.9,6.6,5.6,6.4,5.8,7.1,5.6,5.4
380,Equatorial Guinea2014,85.3,86.98,7.2,8.2,6.6,4.2,8.8,6.3,9.7,7.4,9.5,8,3.6,5.8
381,Eritrea2014,95.5,85.21,7.6,8.1,6.4,8,7.2,7.5,8.8,8.4,9.2,8.5,7.3,8.5
382,Estonia2014,45.2,82.92,2.8,5.5,6.2,3.8,4,3.8,3.5,3.3,2.5,3.6,3.2,3
383,Ethiopia2014,97.9,81.72,8.1,8.7,8.9,7.4,7.3,6.7,7.1,8.9,8,9.4,9,8.4
384,Fiji2014,79,83.31,7,7.9,7.3,7,7.1,7.3,7.8,4.8,7.2,5,3.7,6.9
385,Finland2014,18.7,82.94,1.3,1.1,1.3,3.5,1.3,2.2,0.8,1.4,1.2,1.8,1.5,1.3
386,France2014,34.8,82.29,2.6,1.9,6.4,4.5,4,2.2,2.1,1.8,2.2,3,2.5,1.6
387,Gabon2014,72.2,80.64,5.1,7.1,3.6,5.1,7,5.5,7.7,7.1,6.6,6.9,5.3,5.2
388,Georgia2014,82.7,79.96,7.6,9.5,8,6.3,6.2,5.5,8.7,5.1,6.1,4.9,7.2,7.6
389,Germany2014,30.6,80.01,2.4,2,4.3,2.9,3.6,2.4,1.5,1.9,1.8,2.9,3.3,1.6
390,Ghana2014,70.7,79.04,4.1,5,4.9,6,6.8,7.3,4.8,7.9,4.9,6.9,5.8,6.3
391,Greece2014,52.1,78.81,4.2,3.5,5.1,6.5,4,4.1,6.4,3.6,3.7,3.5,1.9,5.6
392,Grenada2014,65.2,78.68,5.3,5.6,3.9,6.1,5.6,8.2,6.2,3.9,4,5.5,3.5,7.4
393,Guatemala2014,80.3,77.55,6.7,6,7.6,6.1,7.9,6.8,6.5,7.1,6.7,7.2,6,5.7
394,Guinea2014,102.7,78.17,9.2,9.6,8.4,8.9,7.9,7.5,9.9,9.2,8.5,8,8.3,7.3
395,Guyana2014,71,78.01,5.5,5.1,6.2,6.7,6.5,8.8,5.6,6.3,4.1,5.9,4.1,6.2
396,Haiti2014,104.3,79.45,7.5,9.1,7,9.4,9.3,9.1,8.9,9.5,7.5,8.7,8.5,9.8
397,Honduras2014,77.9,78.87,6.4,7,6.1,6.6,7.8,6.3,7,6.7,6,6.7,4.2,7.1
398,Hungary2014,48.3,78.83,2.6,4.9,4.4,5.6,4.6,3.6,6,3.2,4.1,2.8,2.8,3.7
399,Iceland2014,25.9,78.61,1.3,1.8,1,3.9,1.9,3.1,1.2,1.9,1.4,1.9,1.6,4.9
400,India2014,76.9,80.24,7.9,6.8,7.8,5.7,7.8,5.2,5.3,7,5.6,7.7,5.1,5
401,Indonesia2014,76.8,79.57,6.5,7,7.6,5.5,6.6,6,6.5,6,6.2,7.4,5.9,5.6
402,Iran2014,87.2,79.78,8.3,9.4,8.8,6.4,6.4,5.9,8.7,4.8,9.3,5.3,6.8,7.1
403,Iraq2014,102.2,79.04,10,9.6,10,7,8.1,8,8.7,7.7,8.7,8,8.5,7.9
404,Ireland2014,26.1,79.65,2.1,1.3,1.6,4.2,2.7,3.1,1.8,2.2,1.2,2.5,1.4,2
405,Italy2014,43.4,79.4,4.7,4.9,4.6,5.1,3.3,2.3,4.2,2.6,2.8,3.6,3.4,1.9
406,Jamaica2014,64.9,79.18,6,3.7,4,6.8,5.8,7.5,5.6,5.6,5.1,5.5,3.3,6
407,Japan2014,36.3,78.01,1.9,2.6,4.1,3.6,2.1,2.3,2,2.4,3.3,4.7,3.4,3.9
408,Jordan2014,76.7,77.59,5.5,6.9,7.4,6.6,6.2,3.9,6.4,5,7.3,6.7,8.3,6.5
409,Kazakhstan2014,68.5,77.66,6,7.6,6.5,5.9,5,3.9,7.7,4.8,7.2,5.1,3.8,5
410,Kenya2014,99,84.67,8.2,9.3,9.3,7.9,8,7.8,8.4,8.2,6.8,8.7,8.2,8.2
411,Kuwait2014,59,83.78,4.2,8,4.9,3.3,5,3.4,7.3,2.8,6.9,5.4,3.7,4.1
412,Kyrgyz Republic2014,83.9,83.49,7.1,8,8.2,7.3,6.7,6.1,8.2,5.9,7.3,6,5.5,7.6
413,Laos2014,84.3,83.8,6.3,8.3,6,5.8,6.6,7.1,8.6,7.4,8,7.4,5.9,6.9
414,Latvia2014,48,84.37,3.3,4.3,5.8,4.3,4.6,4.1,4.2,3.7,3.3,3.7,3.2,3.5
415,Lebanon2014,86.9,84.53,8.6,9.3,8.9,5.6,6,5.7,7.3,5.7,6.8,6,8.6,8.4
416,Lesotho2014,78.6,84.38,4.9,7,4.7,8.2,7,7.1,5.7,8.2,5.1,8,5.2,7.5
417,Liberia2014,94.3,82.19,6.8,8.3,6.5,8,8,6.9,6.9,9.3,6.3,8.5,9.1,9.7
418,Libya2014,87.8,82.24,9.2,8.1,7.5,6.1,6.4,5.5,8.5,7.4,8.7,5.7,5.7,9
419,Lithuania2014,43.2,82.11,2.7,3,4,4.8,5.3,4,3.5,3.7,2.7,3.6,2.9,3
420,Luxembourg2014,24.6,89.21,2.3,3.4,2.8,1.8,1.8,2.4,1.6,1.6,1.3,2,1.7,1.9
421,Macedonia2014,66.4,88.78,5.7,7,7.3,5.9,5.9,5.8,5.8,4.1,4.2,3.8,5,5.9
422,Madagascar2014,83.1,88.29,6.8,7.6,4.9,7.9,8.2,5.8,7.3,8.8,5.8,8.2,4.2,7.6
423,Malawi2014,89.1,87.57,5.1,7.7,5.7,8.3,8.1,8.4,7.6,8.1,6.5,8.8,6.4,8.4
424,Malaysia2014,66.2,88.92,6.5,7,6.2,3.9,5.6,4.8,6.6,4.6,6.9,5.5,4.5,4.1
425,Maldives2014,75.4,88.99,5.8,8.3,4.9,6.7,4.2,5.9,8.4,6.4,7.4,5.7,5,6.7
426,Mali2014,89.8,88.73,8,4.9,7.5,7.9,7.1,8.1,5.9,8.6,6.8,9,7.5,8.5
427,Malta2014,43,87.18,3.7,2,4,3.9,3.2,4.3,3.8,2.6,3.6,3.1,4.9,3.9
428,Mauritania2014,93,87.86,7.7,8.5,7.2,7.7,6.8,6,7.4,8.6,7.7,8.4,8.8,8.2
429,Mauritius2014,46.1,87.98,3.1,3.2,3.5,4.4,4.6,3.9,3.8,4.1,3.7,4.4,2.5,4.9
430,Mexico2014,71.1,45.29,7.6,5.1,6.1,4.9,6.9,5.6,5.8,6.3,6,6.7,4.3,5.8
431,Moldova2014,75.1,44.27,6.9,7.8,6.2,6.6,5.6,6.6,6.6,5.4,5.7,5.6,4.7,7.4
432,Mongolia2014,58.1,40.25,4.3,5.5,4,4.6,6.5,2.8,4.8,6,5.1,5.8,2.5,6.2
433,Montenegro2014,55.7,38.85,4.3,6.3,7,4.9,3.2,3.3,4.3,3.9,4.5,3.6,4.8,5.6
434,Morocco2014,74.4,39.27,6,6.6,6.8,5.6,6.6,7.3,6.6,5.9,6.5,5.7,5.6,5.2
435,Mozambique2014,85.9,39.07,6.6,6.6,5.4,8.1,8.3,7.4,7.5,8.7,6.4,8.9,4.9,7.1
436,Myanmar2014,94.3,39.65,8,8.6,9.3,7,8.1,5.3,9.3,8.3,8,7.3,8.2,6.9
437,Namibia2014,71.5,40.45,4.6,3.5,5.6,6.8,8.4,6.8,4.1,7,4.6,7.1,5.8,7.2
438,Nepal2014,91,40.83,7.3,8.3,9,7.1,7.8,6.2,7.6,7.4,7.6,7.8,7.6,7.3
439,Netherlands2014,28.6,40.82,2.1,2.6,4.1,3.7,2.4,2.4,1,1.8,1.2,3.3,2.4,1.6
440,New Zealand2014,24.1,75.32,1.4,1.1,3.8,3.9,3.1,2.2,0.5,2.1,1.1,2.4,1.2,1.3
441,Nicaragua2014,78.4,76.8,5.3,6.8,6.2,6.5,7.6,7.8,7.6,6.9,5.1,5.9,5.1,7.6
442,Niger2014,97.9,76.69,8.4,8.9,7.5,8.1,7.9,6.6,7.8,9.3,7.3,9.3,8.2,8.6
443,Nigeria2014,99.7,75.65,9.5,9.5,9.8,7.3,8.9,7,8.8,9,8.7,8.3,6.9,6
