,country,FSI,EPI,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1
154,Turkey2016,77.3,73.92,7.8,7.6,9.5,4.8,5.9,3.6,6.6,4.6,7.4,5.1,8.8,5.6
155,Turkmenistan2016,76,73.49,6.5,7.8,6.8,5.1,6.9,4.8,9.8,5.8,8.9,5.6,3.7,4.3
156,Uganda2016,97.7,73.2,7.3,8.9,9,6.7,7.6,7.6,8.3,8.5,8,8.7,9.1,8
157,Ukraine2016,75.5,73.44,7.8,8,6.9,7,4.4,5.4,8.4,3.9,6.2,4.4,4.3,8.8
158,United Arab Emirates2016,44.5,73.6,2.8,3.6,3.6,2.6,3.9,2.2,6.9,2.4,7.5,4.2,2.2,2.6
159,United Kingdom2016,32.4,73.91,2.4,3.5,5.9,3.8,3.8,1.8,1.7,1.8,1.9,2.6,2.2,1
160,Uruguay2016,36.2,43.66,3.5,2.7,2.7,3.3,4.3,4.1,1.1,3.1,2.5,4,2.2,2.7
161,Uzbekistan2016,83.5,43.83,7.3,8.8,7.3,6.5,7.1,6,9.7,5.1,9.4,5.8,5.7,4.8
162,Venezuela2016,81.6,43.72,6.8,8.2,7.4,7,6.9,5.2,8.7,7.2,8.6,5.2,4.8,5.6
163,Yemen2016,111.5,40.7,10,9.5,9.5,9.4,8.4,7.5,9.4,9.3,9.4,9.5,9.6,10
164,Zambia2016,86.3,41.53,4.7,5.7,5.4,8.1,8.9,8.1,7.2,8.1,7.1,9.5,6.6,6.9
165,Zimbabwe2016,100.5,41.32,7.8,9.8,7.5,8.3,8.2,8.1,8.9,8.5,8.4,8.6,8.7,7.7
166,Afghanistan2015,107.9,41.26,10,9.3,8.9,8.6,7.2,8.1,9.7,9.3,8.6,9.3,9.1,9.8
167,Albania2015,61.9,39.79,4.7,6.2,5,5.2,4.2,7.1,6.2,4.5,5.5,4.1,3.1,6.1
168,Algeria2015,79.6,39.39,8,7.7,8.2,6.4,6,5.1,7.8,5.8,7.1,5.7,6.4,5.4
169,Angola2015,87.9,39.41,6,7.2,7.3,5.6,9.6,6,8.3,8.9,7.3,8.7,7.6,5.6
170,Antigua and Barbuda2015,57.8,64.99,5.2,3.7,3.9,5,5,7.3,5.9,3.9,4.5,4.6,3,5.8
171,Argentina2015,47.6,64.26,3.6,2.8,5,4.9,5.4,3,4.7,4.3,4.1,3.8,2,4
172,Armenia2015,69.7,63.98,5.3,7,5.4,6,5,6,7,4.1,6.5,3.6,7,6.8
173,Australia2015,24.3,63.1,2.1,1.6,4.4,2.1,2.7,1,1.1,2,2.4,1.8,2.1,1
174,Austria2015,25.8,61.84,1.1,2.7,4.3,2.2,3.4,1.5,1.4,1.6,1.7,2.4,2,1.7
175,Azerbaijan2015,77.3,61.58,6.7,7.9,6.4,4.1,5.9,4.3,8.6,5.4,8.4,5.1,7.6,6.9
176,Bahrain2015,64.4,63.13,6.7,7.1,7.7,3.2,5.1,3.5,8.4,2.3,7.8,4.6,2.6,5.3
177,Bangladesh2015,91.8,63.76,7.7,9.6,8.4,6.7,7.2,7.5,8.5,8.1,7.7,8.1,6.6,5.7
178,Barbados2015,49.3,63.37,4.3,4.2,4.1,5.7,5.1,5.4,3,2.7,2.9,3.8,2.7,5.4
179,Belarus2015,75.6,63.42,6.6,8.3,6.8,6.1,5.2,3.4,8.6,4.7,8.4,5.6,4.1,7.8
180,Belgium2015,30.5,71.09,2,3.9,4.1,4.5,3.2,1.9,1.9,2.1,1.2,2.5,1.6,1.5
181,Belize2015,65.3,71.33,5.8,4.3,4.1,5.9,6.2,6.5,5.7,5.8,4.1,5.9,4.1,6.9
182,Benin2015,78.8,70.78,6.2,6.1,3.9,6.6,7.5,6.8,6.2,8.6,5.6,8.2,6,7.1
183,Bhutan2015,78.7,70.4,5,7.5,7.9,5.7,6.9,6.8,5,6.6,6.5,6,6.9,7.9
184,Bolivia2015,78.1,70.72,6.6,8,6.5,5.4,8.6,6.4,7,6.9,5.9,6.7,3.8,6.2
185,Bosnia and Herzegovina2015,77.4,70.58,6.2,8.7,7.1,5.8,5.6,5.5,7,4.1,5.8,6.1,7.3,8.2
