,country,FSI,EPI,DP,EI,Economy,FE,GDP,GDPpc,GG,HFBD,HR,LandArea,PS,Pop,PopDensity,PopGrowthRate,RI,SA,SDGI,SL
33,Costa Rica,44.1,67.85,3.3,4.1,4,3.8,74.8092691,15401.4925,4.2,4.1,1.5,51060,3.9,4.857274,95.12875049,1.022696047,3.9,3.6,69.8,2.4
34,Croatia,50.6,65.45,3.1,4.6,5.3,4.4,89.86469266,21547.18569,5.8,4.7,3.6,55960,2.4,4.1706,74.52823445,-0.788234222,7,3.5,76.9,2.9
35,Cuba,64.6,63.42,5.5,5.1,4,7,239.3704429,20858.38431,4,5.2,7.5,104020,4.1,11.475982,110.3247645,0.126866978,4,5.2,75.5,7.6
36,Cyprus,62.6,72.6,3.5,9,6,7.9,26.68059236,22801.48903,6.3,4,3,9240,2.5,1.170125,126.6369048,0.784179797,5.3,4.4,70.6,4.8
37,Czech Republic,40.1,67.68,1.4,2.7,4.6,5,331.137,31352.82205,4.8,2.8,2.4,77210,2.6,10.561633,136.7909986,0.147567084,3.8,2.6,81.9,4.7
38,Denmark,21.5,81.6,2,1,2,1.4,263.438,45966.24952,4.4,1.9,1.5,42262,1,5.731118,135.6092471,0.834637611,2.1,1.7,84.2,0.9
39,Djibouti,88.9,40.04,8.4,8.7,7,7.3,3.178944562,3373.483218,6.5,5.4,7.8,23180,7.9,0.942333,40.65284728,1.595864748,7.3,6.5,49.6,8.2
40,Dominican Republic,69,64.71,6.5,5.4,5.5,6.2,150.136,14098.87752,5.8,7.1,5.8,48310,6.3,10.648791,220.4262265,1.137056669,3.3,5.8,67.2,5.5
41,Ecuador,77.3,57.42,6.5,6.3,6,8.2,170.802,10424.24725,7.3,5.8,5,248360,6.5,16.385068,65.97305524,1.479917408,5.7,6.8,69,6.5
42,Egypt,89.8,61.21,7.1,7.9,8.2,8.8,987.436,10319.25605,8.8,4.7,9.8,995450,4.9,95.688681,96.12605455,2.016789456,7.3,8.1,64.9,8.2
43,El Salvador,73.1,53.91,6.9,5.9,5.4,4.3,50.69431137,7989.997256,6.7,7.9,6.3,20720,6.4,6.344722,306.2124517,0.509497673,4.8,7.3,62.9,4.8
44,Estonia,44.7,64.31,2.8,4.3,3.5,5.9,36.98661617,28095.06265,7.3,4,1.7,42390,2.9,1.316481,31.05640481,0.08161442,3.1,3.3,78.6,2.7
45,Ethiopia,101.1,44.78,9.8,8.7,7,8.7,164.694,1608.289648,9.1,7.6,9,1000000,8.8,102.403196,102.403196,2.501821378,9.3,8.4,53.5,8.2
46,Finland,18.7,78.64,1.1,1,3.5,1.1,217.183,39523.05838,1.8,2.3,1,303890,1,5.495096,18.0825167,0.283654477,2.3,1.7,84,0.9
47,France,33.5,83.95,2.8,1.8,4.3,1.9,2545.99,38058.86528,7,2.2,2.1,547557,1.1,66.896109,122.1719547,0.407491036,2.5,3.3,80.3,1.3
48,Gabon,73.8,45.05,6.7,5.7,5.5,7.4,33.23268922,16786.00072,3.8,6.1,7.5,257670,6.7,1.979786,7.683416773,2.537808568,4.5,5.2,65.1,8.2
49,Gambia,89.4,42.42,8.3,7,8.4,7.8,3.169632857,1554.884132,3.8,8.3,9.4,10120,7.8,2.038501,201.4329051,3.03358022,6.8,6.3,47.8,8.6
50,Georgia,76.5,55.69,3.7,7.4,5.5,9.1,34.50307669,9276.766243,7.9,4.9,5.6,69490,4.3,3.7193,64.96028552,0.059168417,7.5,6.8,68.6,8.3
51,Germany,28.1,78.37,2,1,2.2,2.3,3658.9,44260.34187,5,2.1,1.1,348900,1.1,82.667685,236.9380482,1.193866758,5.4,2.1,81.7,1
52,Ghana,69.7,49.66,6.6,6.7,6.1,5.2,112.268,3980.185153,4.4,8.2,5.1,227540,7.8,28.206728,123.9638217,2.236737965,5,3.8,59.9,4.2
53,Greece,57.5,73.6,3.7,6.1,6.5,4.1,260.905,24277.59488,5.4,3.3,3.2,128900,3.8,10.74674,83.37269201,-0.687542545,6.5,4.5,72.9,6.7
54,Guatemala,83.1,52.33,7,5.2,5.5,7.1,122.159,7366.755819,8.5,7.3,7.2,107160,7.5,16.582469,154.7449515,2.010367845,5.6,7.6,58.3,6.5
55,Guinea,102.4,46.62,8.7,7.4,9.2,9.6,22.60196905,1823.338788,8.6,7.4,7.7,245720,9.5,12.395924,50.44735471,2.48622533,8.2,8.8,48.8,9.6
56,Guyana,71.3,47.93,5.8,7.3,6,5.1,5.619078875,7266.335285,6.7,9.4,3.5,196850,6.2,0.773303,3.928387097,0.621217097,3.8,6.4,64.7,5.4
57,Haiti,105.3,33.74,9.5,10,8.7,9.6,17.94107659,1653.961848,6.5,8.8,7.6,27560,9.7,10.847334,393.5897678,1.264238966,7.7,7.7,44.1,9.7
58,Honduras,79.1,51.51,6.3,7.5,6.4,6.8,40.0261354,4392.265947,5.9,6.4,6.9,111890,6.8,9.112867,81.44487443,1.682462584,4.3,7.3,61.7,6.8
59,Hungary,52,65.01,1.8,3.9,5.4,5.3,251.868,25653.80703,4.8,3.3,5.2,90530,3.2,9.817958,108.4497736,-0.255022953,6.5,2.7,78,6.1
60,Iceland,22.5,78.57,1.6,4.1,3.3,1.8,15.13374348,45276.44855,1.3,2.8,1,100250,1.2,0.334252,3.334184539,1.033589277,2,1,79.3,1.3
61,India,77.9,30.57,7.9,5.4,5.1,7.3,8067.71,6092.648037,8.3,6.1,6,2973190,7.4,1324.171354,445.3705797,1.148214693,5.3,7.4,58.1,4.7
62,Indonesia,72.9,46.92,6.6,5.2,4.5,7,2810.79,10764.54854,7.1,6.9,7.2,1811570,5.9,261.115456,144.1376574,1.137493711,5.4,6.2,62.9,5.1
63,Iran,85.8,58.16,4.9,6.5,6.4,9.6,1484.95,18497.72766,9.3,6.5,9.5,1628760,4.5,80.277428,49.28745058,1.1487886,6.5,7.5,64.7,9
64,Iraq,105.4,43.2,8.6,9.7,6.6,9.6,598.475,16086.92539,9.6,7.7,8.7,434320,8.2,37.202572,85.65705471,2.965163696,9.9,10,56.6,9.5
65,Ireland,22.3,78.77,1.7,1.4,3.4,1.5,300.666,62991.83234,1.4,2.8,1.4,68890,1.4,4.773095,69.28574539,2.037334235,2,2.1,77.9,1
66,Italy,45.2,76.96,4.3,2.5,5.4,4.9,2103.77,34715.33858,4.8,2,2,294140,2.7,60.60059,206.026348,-0.214276426,5.5,4.5,75.5,3.7
67,Jamaica,65.2,58.58,5.2,5.8,6.9,3.7,23.56838997,8179.62034,3.4,8.4,5.5,10830,6.4,2.881355,266.0530933,0.327499919,3.1,6.9,66.6,4.8
68,Japan,37.4,74.69,6,3.8,4.1,2.6,4857.83,38252.2832,3.7,3.2,3,364560,2.2,126.994511,348.350096,-0.115284177,4.4,1.6,80.2,1.2
69,Jordan,78.7,62.2,6.5,7.6,6.4,6.9,79.33043971,8389.604574,8,4.2,7.9,88780,4.2,9.455802,106.5082451,3.185854645,9.6,5.7,66,6.3
70,Kazakhstan,65.9,54.56,4.5,4.2,6.4,7.6,417.217,23443.06624,7.6,3.6,7.3,2699700,4,17.797032,6.592225803,1.431250879,3,5.2,71.1,8.3
71,Kenya,96.4,47.25,8.9,8.1,6.9,8.9,141.779,2925.59669,8.9,7.6,7,569140,8,48.461567,85.14876305,2.560925398,8.3,8.3,54.9,7.6
72,Kuwait,58.5,62.28,5,4.8,3,7.8,279.068,68861.74352,4.7,3.6,7.9,17820,2.6,4.052584,227.4177329,2.924206194,3.5,4.2,62.4,7.2
73,Laos,82.4,42.94,7.3,6.1,5.2,8.3,38.75592581,5734.522274,6.6,7.7,7.9,230800,7,6.758353,29.28229203,1.406426845,5.1,5.5,61.4,9.1
74,Latvia,46.4,66.12,2.9,3.9,3.5,4.3,46.49657079,23717.60945,8,4.8,2.8,62180,2.9,1.960424,31.52820843,-0.868629779,2.8,3,75.2,3.4
75,Lebanon,88.2,61.08,5.6,9.1,6.4,9.3,79.69578445,13267.8857,8.5,5,7.4,10230,5.7,6.006668,587.1620723,2.617573568,9.3,8.7,64.9,7.6
76,Lesotho,81.7,33.78,8.5,7.8,8.1,7.3,6.03043638,2736.354895,3.9,8,5,30360,8.1,2.203821,72.58962451,1.332723919,4.8,6.2,53,5.9
77,Liberia,93.8,41.62,9,9.3,8.1,8.3,3.476780367,753.557379,5.8,7.2,6.5,96320,9.3,4.613823,47.9009863,2.50636265,8.7,6.4,42.8,6.8
78,Lithuania,41.7,69.33,2.8,4,4.5,3,80.14887985,27904.09625,4.4,4.4,2.5,62650,3.5,2.872298,45.84673583,-1.129000251,2.3,3.1,73.6,2.7
79,Luxembourg,23.4,79.12,1.6,1.1,1.2,3.4,55.24532687,94764.97477,3.1,2.1,1,2590,2.1,0.582972,225.0857143,2.319777521,3.5,1.7,75,1
80,Macedonia,66.1,61.06,3.3,6,5.8,7.3,27.16968015,13054.77697,6.9,5.2,3.8,25220,3.9,2.081206,82.522046,0.091238733,7.3,5.6,69.4,5.8
81,Madagascar,84,33.73,9.1,6.8,7.6,7.8,34.76946297,1396.669615,4.1,6.7,5.6,581800,9.1,24.894551,42.78884668,2.688870712,3.9,7.1,43.5,7.1
82,Malawi,88,49.21,9.7,8.2,8.4,8.1,19.60767469,1083.801421,5.6,7.9,6.2,94280,8.6,18.091575,191.8919707,2.904818605,5.8,4.8,48,6.4
83,Malaysia,65.4,59.22,5.3,3.8,3.1,6.8,800.542,25668.87478,6.5,5,8,328550,4.2,31.187265,94.92395374,1.499323358,3.7,6.3,69.7,7.7
84,Mali,92.9,43.71,8.5,9.4,7.7,4.9,35.46934392,1971.08448,7.4,8.5,7.3,1220190,8.8,17.994837,14.74756964,2.971968633,7.9,9,48.5,6.1
85,Malta,38.6,80.9,2.5,3.3,4,2,15.61795686,35743.36671,3.9,3.7,3,320,2,0.436947,1365.459375,1.167802724,4.4,3.6,77,3.6
86,Mauritania,93.7,39.24,8.7,8,7.7,8.8,15.36444295,3572.28055,7,6.9,7.9,1030700,9,4.301018,4.172909673,2.798060125,8,6.9,51.1,8
87,Mauritius,41.7,56.63,3.6,4.7,4,3.2,24.72299486,19567.48966,3.6,4.4,3.4,2030,3.3,1.263473,622.4004926,0.068723138,2.7,2.3,62.1,3
88,Mexico,74.3,59.69,6.1,5.5,4.9,5.4,2146.82,16832.4673,7.2,5.8,6.5,1943950,6.8,127.540423,65.60890095,1.301730941,5.1,8.4,69.1,6.5
89,Moldova,72,51.97,4.8,7.4,6.4,8.3,17.56228027,4944.335661,7.3,6.6,4.9,32870,4.9,3.552,123.5587139,-0.059329244,3.9,6.1,74.2,6.6
90,Mongolia,56.7,57.51,5.1,7.1,5,5.5,34.39428811,11361.00642,3.8,3.3,4.5,1553560,5.4,3.027398,1.948684312,1.682874029,3,3.6,64.2,4
91,Montenegro,55.7,61.33,2.8,6.5,5.2,6.5,9.793141792,15724.8564,7.9,4,4.1,13450,3.1,0.622781,46.30342007,0.099924503,4.6,4,67.3,4.6
92,Morocco,74.9,63.47,4.8,6,4.8,6.6,260.949,7397.187488,7.7,8.2,6.8,446300,5.2,35.276786,79.04276496,1.351228522,6.1,5.8,66.7,6.7
93,Mozambique,89,46.37,9.9,8,8,6.6,32.52770083,1128.279294,5.4,8,5.6,786380,9.7,28.829476,36.6609985,2.881207724,5.8,6.7,49.2,6.5
94,Myanmar,95.7,45.32,6.8,7.3,5.9,8.3,280.559,5305.054684,9.7,6.4,8.9,653080,8.5,52.885223,80.9781696,0.914735351,8.7,8.9,59.5,8.6
95,Namibia,70.4,58.46,7.6,6.4,6.8,3.5,24.43021954,9852.035111,5.8,7.1,3.8,823290,7.4,2.479713,3.01195569,2.207998983,5,5.5,59.3,3.3
96,Nepal,91,31.44,8.6,6.9,7.5,8.8,66.59233737,2297.652539,9.4,6.5,7.7,143350,7.2,28.982771,202.1818696,1.132886385,7.8,6.5,61.6,7.4
97,Netherlands,27.4,75.46,2.5,1.2,2.7,3.1,805.017,47302.72068,4.5,2.6,1,33690,1,17.018408,505.1471653,0.4622438,3.8,1.5,79.9,1.3
98,New Zealand,22.6,75.96,2.1,1.2,3.6,1.4,165.518,35271.37895,3.6,2.1,1,263310,1.4,4.6927,17.82195891,2.088702607,1.8,1.2,77.6,0.9
99,Nicaragua,77.4,55.04,5.3,7.3,5.7,7.1,31.59120583,5136.841574,6.5,8.1,5.2,120340,6.7,6.149928,51.10460362,1.110103051,4,5.6,63.1,7.9
100,Niger,97.4,35.74,9,8.1,7.5,8.9,18.90476514,914.4670358,8,7.5,6.5,1266700,9.5,20.672987,16.32034973,3.826066467,7.9,8.7,44.8,7.3
101,Nigeria,101.6,54.76,9.1,6.5,8,9.6,1010.8,5434.71131,9.2,7.2,8.9,910770,9.2,185.98964,204.2114255,2.619033526,7.5,9.2,48.6,8.6
102,Norway,20.5,77.49,1.5,1.3,2.2,1.1,335.844,64178.97128,3.6,1.6,1.1,365245,1,5.232929,14.32717491,0.850589917,2.8,2,83.9,0.8
103,Oman,52.5,51.32,4.8,2.3,4.1,6.6,3.756071553,848.8753864,2.9,2.5,7.7,309500,3.5,4.424762,14.29648465,5.217720553,2.5,4.2,64.3,6.8
104,Pakistan,98.9,37.5,8.4,9.4,6.9,8.9,937.932,4854.633154,10,7.2,8,770880,7.7,193.203476,250.6271741,1.998562594,8.7,9.1,55.6,8.1
105,Panama,50.7,62.71,4.9,2.7,2.6,2.2,86.06768552,21334.93968,5.6,4.6,4.3,74340,4.8,4.034119,54.26579231,1.621103031,3,5.4,63.9,3.2
106,Paraguay,71.6,53.93,5.7,4.8,5,7.8,59.66275979,8871.37954,5.8,5.8,5.9,397300,6.2,6.725308,16.92753083,1.289844973,3.1,6.6,66.1,7
107,Peru,70.3,61.92,5,3.5,3.2,6.9,383.561,12071.59764,7.4,7.3,4.3,1280000,6.7,31.773839,24.82331172,1.257862325,4.3,7.1,66,7.2
108,Philippines,84.4,57.65,7.5,6.4,5.5,8,747.673,7236.463352,7.9,6.5,6.6,298170,6.7,103.320222,346.5144783,1.564497131,6.9,9.7,64.3,7
109,Poland,40.8,64.11,3,2.9,3.6,4.2,988.583,26050.97985,5.4,4.5,3.2,306190,2.3,37.948016,123.9361704,-0.101129367,3.6,1.8,75.8,3.3
110,Portugal,29,71.91,2.1,2.8,5.3,2.5,279.847,27104.84686,2.5,2.2,1.8,91605,2.2,10.324611,112.7079417,-0.323604271,2.2,1.3,75.6,1.6
111,Qatar,44,67.8,3.8,2.7,2.1,5,303.769,118207.0695,4.6,2.6,6.3,11610,1.3,2.569804,221.3440138,3.495069918,2,2.6,63.1,6.3
112,Romania,50.9,64.78,3.2,3.6,4.7,5.4,425.792,21607.99269,6.8,4.5,3.7,230080,3.8,19.705301,85.64543202,-0.557581505,2.8,3,74.1,5.2
113,Russia,79.2,63.79,4.6,5.7,5.2,8.1,3581.3,24811.14419,8.8,4,9.2,16376870,4.2,144.342396,8.813796287,0.170244546,5.8,8.9,68.9,8.5
114,Rwanda,90.8,43.68,8,7.5,6,8,21.13868558,1773.750484,9.4,7.4,7.2,24670,7.4,11.917508,483.0769355,2.445904867,8.3,6.2,55,7.1
115,Saudi Arabia,71.2,57.47,5.3,4.7,4.5,8.2,1628.57,50458.10489,7.8,3.8,9.1,2149690,3.8,32.275687,15.01411227,2.251422474,4.7,6.3,62.7,8
116,Senegal,82.3,49.52,8.1,6.7,7.4,6.6,36.67118441,2379.451264,6.4,8,6,192530,7.5,15.411614,80.04785748,2.860609064,7.3,6.2,56.2,4.7
117,Serbia,70,57.49,4.3,6.2,6.4,8,96.84578427,13722.56349,7.3,5.3,4.4,87460,4.2,7.057412,80.69302538,-0.536587877,8.4,5.5,73.6,5.2
118,Sierra Leone,89.3,42.54,9,7.9,8.6,7.8,10.12412009,1368.829098,6.2,8.5,5.3,72180,8.8,7.39619,102.4686894,2.175479241,7.7,4.3,47.1,6.9
119,Singapore,32.5,64.23,2.5,1.2,2,4,456.676,81443.36571,2.6,3.3,4.6,709,1.3,5.607283,7908.720733,1.297436099,1.7,1.6,69,3.9
120,Slovenia,32.4,67.57,2.3,2.3,3.8,1.7,61.80678355,29932.89256,4.5,3.1,1.5,20140,1.5,2.064845,102.524578,0.063656995,4,1.6,80.5,2.7
121,South Africa,72.3,44.73,7.2,3,7.1,6.1,685.452,12260.16661,6.7,5.5,4.2,1213090,7,55.908865,46.08797781,1.617203497,5.4,6.1,61.2,6.5
122,South Korea,38.1,62.3,3.1,5.6,2,4.3,1792.87,34985.75988,2.9,3.9,2.9,97480,1.9,51.245707,525.7048318,0.451318044,2,2.1,75.5,4.4
123,Spain,37.9,78.39,2,1.8,5.2,6.3,1548.87,33349.22417,5.7,1.9,1.8,500210,2.2,46.443959,92.84892145,-0.008048086,1.9,2.8,76.8,2.8
