,EPI,country
232,82.33,Hungary2015
233,90.48,Iceland2015
234,55.08,India2015
235,65.9,Indonesia2015
236,64.84,Iran2015
237,62.26,Iraq2015
238,87.51,Ireland2015
239,83.48,Italy2015
240,77.11,Jamaica2015
241,81.24,Japan2015
242,70.7,Jordan2015
243,72.84,Kazakhstan2015
244,62.55,Kenya2015
245,62.95,Kuwait2015
246,73.19,Kyrgyz Republic2015
247,50.04,Laos2015
248,85.93,Latvia2015
249,66.46,Lebanon2015
250,46.52,Lesotho2015
251,43.06,Liberia2015
252,62.8,Libya2015
253,84.82,Lithuania2015
254,86.31,Luxembourg2015
255,75.52,Macedonia2015
256,36.56,Madagascar2015
257,49.32,Malawi2015
258,76.19,Malaysia2015
259,56.65,Maldives2015
260,41.4,Mali2015
261,89.91,Malta2015
262,45.9,Mauritania2015
263,72.17,Mauritius2015
264,73.56,Mexico2015
265,75.81,Moldova2015
266,66.84,Mongolia2015
267,77.47,Montenegro2015
268,74.33,Morocco2015
269,41.91,Mozambique2015
270,48.68,Myanmar2015
271,71.21,Namibia2015
272,50.94,Nepal2015
273,82.84,Netherlands2015
274,89.73,New Zealand2015
275,64.44,Nicaragua2015
276,37.35,Niger2015
277,58.27,Nigeria2015
278,87.78,Norway2015
279,60.02,Oman2015
280,52.71,Pakistan2015
281,79.49,Panama2015
282,47.44,Papua New Guinea2015
283,70.13,Paraguay2015
284,72.94,Peru2015
285,74.04,Philippines2015
286,80.09,Poland2015
287,88.71,Portugal2015
288,69.06,Qatar2015
289,82.12,Romania2015
290,83.06,Russia2015
291,50.97,Rwanda2015
292,69.6,Samoa2015
293,48.77,Sao Tome and Principe2015
294,70.13,Saudi Arabia2015
295,64.58,Senegal2015
296,76.81,Serbia2015
297,64.34,Seychelles2015
298,45.37,Sierra Leone2015
299,87.64,Singapore2015
300,86.76,Slovenia2015
301,46.64,Solomon Islands2015
302,27.48,Somalia2015
303,70.75,South Africa2015
304,71.31,South Korea2015
305,88.73,Spain2015
306,66.27,Sri Lanka2015
307,40.44,Sudan2015
308,70.07,Suriname2015
309,60.65,Swaziland2015
310,89.74,Sweden2015
311,85.68,Switzerland2015
312,64.29,Syria2015
313,72.39,Tajikistan2015
314,57.93,Tanzania2015
315,68.7,Thailand2015
316,55.92,Timor-Leste2015
317,45.86,Togo2015
318,76.4,Trinidad and Tobago2015
319,76.83,Tunisia2015
320,66.25,Turkey2015
321,71.42,Turkmenistan2015
322,57.36,Uganda2015
323,79.01,Ukraine2015
324,70.89,United Arab Emirates2015
325,89.33,United Kingdom2015
326,73.64,Uruguay2015
327,64.88,Uzbekistan2015
328,77.64,Venezuela2015
329,48.31,Yemen2015
330,66.05,Zambia2015
331,59.46,Zimbabwe2015
332,39.7,Afghanistan2014
333,72.36,Albania2014
334,72.09,Algeria2014
335,50.92,Angola2014
336,65.81,Antigua and Barbuda2014
337,79.94,Argentina2014
338,81.52,Armenia2014
339,87.71,Australia2014
340,85.46,Austria2014
341,83.08,Azerbaijan2014
342,69.82,Bahrain2014
343,43.79,Bangladesh2014
344,56.9,Barbados2014
345,80.53,Belarus2014
346,78.97,Belgium2014
347,74.16,Belize2014
348,43.72,Benin2014
349,63.98,Bhutan2014
350,70.78,Bolivia2014
351,60.82,Bosnia and Herzegovina2014
