,EPI,country
1016,65.45,Brunei Darussalam2010
1017,79.75,Bulgaria2010
1018,42.1,Burkina Faso2010
1019,41.9,Burundi2010
1020,49.43,Cambodia2010
1021,52.15,Cameroon2010
1022,83.95,Canada2010
1023,52.25,Cape Verde2010
1024,44.06,Central African Republic2010
1025,36.53,Chad2010
1026,78.88,Chile2010
1027,65.28,China2010
1028,77.29,Colombia2010
1029,46.8,Comoros2010
1030,80.92,Costa Rica2010
1031,58.43,Cote d'Ivoire2010
1032,82.29,Croatia2010
1033,79.45,Cuba2010
1034,79.18,Cyprus2010
1035,84.38,Czech Republic2010
1036,88.73,Denmark2010
1037,39.65,Djibouti2010
1038,76.07,Dominican Republic2010
1039,68.0,Ecuador2010
1040,64.93,Egypt2010
1041,68.62,El Salvador2010
1042,68.95,Equatorial Guinea2010
1043,34.36,Eritrea2010
1044,86.72,Estonia2010
1045,41.48,Ethiopia2010
1046,73.66,Fiji2010
1047,90.37,Finland2010
1048,86.13,France2010
1049,67.28,Gabon2010
1050,62.35,Georgia2010
1051,84.12,Germany2010
1052,57.37,Ghana2010
1053,82.58,Greece2010
1054,61.6,Grenada2010
1055,68.76,Guatemala2010
1056,52.45,Guinea2010
1057,69.08,Guyana2010
1058,41.12,Haiti2010
1059,68.46,Honduras2010
1060,80.86,Hungary2010
1061,89.93,Iceland2010
1062,53.84,India2010
1063,63.86,Indonesia2010
1064,64.04,Iran2010
1065,62.07,Iraq2010
1066,87.88,Ireland2010
1067,83.38,Italy2010
1068,76.46,Jamaica2010
1069,79.61,Japan2010
1070,69.79,Jordan2010
1071,71.77,Kazakhstan2010
1072,60.22,Kenya2010
1073,55.86,Kuwait2010
1074,72.13,Kyrgyz Republic2010
1075,49.26,Laos2010
1076,84.27,Latvia2010
1077,67.16,Lebanon2010
1078,45.1,Lesotho2010
1079,41.77,Liberia2010
1080,61.9,Libya2010
1081,82.7,Lithuania2010
1082,86.24,Luxembourg2010
1083,73.89,Macedonia2010
1084,34.52,Madagascar2010
1085,45.27,Malawi2010
1086,78.1,Malaysia2010
1087,55.86,Maldives2010
1088,38.83,Mali2010
1089,86.25,Malta2010
1090,43.62,Mauritania2010
1091,72.68,Mauritius2010
1092,72.9,Mexico2010
1093,74.81,Moldova2010
1094,62.4,Mongolia2010
1095,75.6,Montenegro2010
1096,71.92,Morocco2010
1097,39.26,Mozambique2010
1098,49.69,Myanmar2010
1099,68.77,Namibia2010
1100,48.48,Nepal2010
1101,80.49,Netherlands2010
1102,86.1,New Zealand2010
1103,63.39,Nicaragua2010
1104,34.89,Niger2010
1105,55.34,Nigeria2010
1106,87.04,Norway2010
1107,58.94,Oman2010
1108,51.24,Pakistan2010
1109,78.1,Panama2010
1110,45.98,Papua New Guinea2010
1111,68.45,Paraguay2010
1112,71.4,Peru2010
1113,71.62,Philippines2010
1114,78.54,Poland2010
1115,87.42,Portugal2010
1116,68.9,Qatar2010
1117,79.09,Romania2010
1118,81.86,Russia2010
1119,50.23,Rwanda2010
1120,67.11,Samoa2010
1121,44.79,Sao Tome and Principe2010
1122,69.58,Saudi Arabia2010
1123,64.08,Senegal2010
1124,75.07,Serbia2010
1125,67.59,Seychelles2010
1126,41.88,Sierra Leone2010
1127,89.88,Singapore2010
1128,86.34,Slovenia2010
1129,44.33,Solomon Islands2010
1130,26.47,Somalia2010
1131,68.31,South Africa2010
1132,70.73,South Korea2010
1133,87.44,Spain2010
1134,64.6,Sri Lanka2010
1135,40.89,Sudan2010
1136,70.75,Suriname2010
1137,59.55,Swaziland2010
1138,89.09,Sweden2010
1139,86.96,Switzerland2010
1140,63.25,Syria2010
1141,72.6,Tajikistan2010
1142,56.09,Tanzania2010
1143,69.47,Thailand2010
1144,53.45,Timor-Leste2010
1145,43.77,Togo2010
1146,76.47,Trinidad and Tobago2010
1147,76.51,Tunisia2010
1148,65.03,Turkey2010
1149,71.1,Turkmenistan2010
1150,55.51,Uganda2010
1151,77.06,Ukraine2010
1152,70.99,United Arab Emirates2010
1153,87.79,United Kingdom2010
1154,73.49,Uruguay2010
1155,66.2,Uzbekistan2010
1156,77.63,Venezuela2010
1157,47.58,Yemen2010
1158,63.01,Zambia2010
1159,58.96,Zimbabwe2010
1160,34.38,Afghanistan2009
1161,66.12,Albania2009
1162,71.15,Algeria2009
1163,49.01,Angola2009
1164,67.2,Antigua and Barbuda2009
1165,79.52,Argentina2009
1166,77.78,Armenia2009
1167,87.19,Australia2009
1168,82.53,Austria2009
1169,79.9,Azerbaijan2009
1170,69.11,Bahrain2009
1171,41.91,Bangladesh2009
1172,54.08,Barbados2009
1173,77.94,Belarus2009
1174,78.24,Belgium2009
1175,73.44,Belize2009
1176,39.79,Benin2009
1177,63.76,Bhutan2009
1178,69.32,Bolivia2009
1179,56.86,Bosnia and Herzegovina2009
1180,68.97,Botswana2009
1181,79.56,Brazil2009
1182,65.38,Brunei Darussalam2009
1183,72.7,Bulgaria2009
1184,40.73,Burkina Faso2009
1185,40.49,Burundi2009
1186,47.69,Cambodia2009
1187,49.89,Cameroon2009
1188,83.16,Canada2009
1189,51.12,Cape Verde2009
1190,45.47,Central African Republic2009
1191,36.04,Chad2009
1192,78.01,Chile2009
1193,64.15,China2009
1194,78.64,Colombia2009
1195,46.04,Comoros2009
1196,76.39,Costa Rica2009
1197,58.38,Cote d'Ivoire2009
1198,80.64,Croatia2009
1199,78.87,Cuba2009
1200,78.01,Cyprus2009
1201,82.19,Czech Republic2009
1202,87.18,Denmark2009
1203,40.45,Djibouti2009
1204,76.01,Dominican Republic2009
1205,68.08,Ecuador2009
1206,64.19,Egypt2009
1207,68.51,El Salvador2009
1208,64.11,Equatorial Guinea2009
1209,34.39,Eritrea2009
1210,86.5,Estonia2009
1211,41.4,Ethiopia2009
1212,68.56,Fiji2009
1213,90.47,Finland2009
1214,85.4,France2009
1215,65.85,Gabon2009
1216,61.45,Georgia2009
1217,80.91,Germany2009
1218,55.05,Ghana2009
1219,81.52,Greece2009
1220,57.46,Grenada2009
1221,68.03,Guatemala2009
1222,49.34,Guinea2009
1223,69.85,Guyana2009
1224,40.53,Haiti2009
1225,68.68,Honduras2009
1226,79.64,Hungary2009
1227,88.14,Iceland2009
1228,53.91,India2009
1229,62.79,Indonesia2009
1230,64.0,Iran2009
1231,63.02,Iraq2009
1232,87.69,Ireland2009
1233,82.03,Italy2009
1234,76.3,Jamaica2009
1235,80.17,Japan2009
1236,69.54,Jordan2009
1237,71.52,Kazakhstan2009
1238,59.47,Kenya2009
1239,57.16,Kuwait2009
1240,71.46,Kyrgyz Republic2009
1241,47.55,Laos2009
1242,82.98,Latvia2009
1243,65.76,Lebanon2009
1244,43.54,Lesotho2009
1245,41.03,Liberia2009
1246,61.94,Libya2009
1247,81.2,Lithuania2009
1248,84.63,Luxembourg2009
1249,72.85,Macedonia2009
1250,34.36,Madagascar2009
1251,42.74,Malawi2009
1252,77.33,Malaysia2009
1253,55.21,Maldives2009
1254,38.63,Mali2009
1255,86.83,Malta2009
1256,43.5,Mauritania2009
1257,73.92,Mauritius2009
1258,71.85,Mexico2009
1259,73.28,Moldova2009
1260,61.08,Mongolia2009
1261,74.73,Montenegro2009
1262,71.47,Morocco2009
1263,39.01,Mozambique2009
1264,47.97,Myanmar2009
1265,68.03,Namibia2009
1266,48.36,Nepal2009
1267,79.47,Netherlands2009
1268,86.21,New Zealand2009
1269,62.51,Nicaragua2009
1270,34.89,Niger2009
1271,53.23,Nigeria2009
1272,86.94,Norway2009
1273,58.4,Oman2009
1274,50.12,Pakistan2009
1275,77.26,Panama2009
1276,42.41,Papua New Guinea2009
1277,67.6,Paraguay2009
1278,71.37,Peru2009
1279,71.82,Philippines2009
1280,78.38,Poland2009
1281,86.0,Portugal2009
1282,70.28,Qatar2009
1283,76.87,Romania2009
1284,80.27,Russia2009
1285,49.72,Rwanda2009
1286,67.42,Samoa2009
1287,39.6,Sao Tome and Principe2009
1288,70.65,Saudi Arabia2009
1289,63.11,Senegal2009
1290,67.59,Seychelles2009
1291,40.48,Sierra Leone2009
1292,90.78,Singapore2009
1293,83.0,Slovenia2009
1294,43.18,Solomon Islands2009
1295,27.09,Somalia2009
1296,68.52,South Africa2009
1297,70.83,South Korea2009
1298,86.15,Spain2009
1299,64.14,Sri Lanka2009
1300,39.4,Sudan2009
1301,66.91,Suriname2009
1302,59.13,Swaziland2009
1303,88.3,Sweden2009
1304,84.45,Switzerland2009
1305,65.96,Syria2009
1306,72.92,Tajikistan2009
1307,53.56,Tanzania2009
1308,69.07,Thailand2009
1309,45.23,Timor-Leste2009
1310,40.64,Togo2009
1311,76.99,Trinidad and Tobago2009
1312,76.26,Tunisia2009
1313,60.08,Turkey2009
1314,70.76,Turkmenistan2009
1315,55.12,Uganda2009
1316,75.13,Ukraine2009
1317,70.22,United Arab Emirates2009
1318,86.31,United Kingdom2009
1319,73.52,Uruguay2009
1320,65.43,Uzbekistan2009
1321,73.06,Venezuela2009
1322,46.77,Yemen2009
1323,60.7,Zambia2009
1324,58.99,Zimbabwe2009
1325,34.19,Afghanistan2008
1326,66.58,Albania2008
1327,71.14,Algeria2008
1328,48.98,Angola2008
1329,67.04,Antigua and Barbuda2008
1330,79.53,Argentina2008
1331,78.12,Armenia2008
1332,87.33,Australia2008
1333,82.37,Austria2008
1334,79.74,Azerbaijan2008
1335,69.37,Bahrain2008
1336,41.99,Bangladesh2008
1337,56.2,Barbados2008
1338,78.11,Belarus2008
1339,78.33,Belgium2008
1340,73.6,Belize2008
1341,39.39,Benin2008
1342,63.37,Bhutan2008
1343,69.16,Bolivia2008
1344,56.41,Bosnia and Herzegovina2008
1345,68.58,Botswana2008
1346,79.63,Brazil2008
1347,65.22,Brunei Darussalam2008
1348,72.99,Bulgaria2008
1349,40.45,Burkina Faso2008
1350,40.74,Burundi2008
1351,47.2,Cambodia2008
1352,49.64,Cameroon2008
1353,82.71,Canada2008
1354,51.44,Cape Verde2008
1355,45.34,Central African Republic2008
1356,35.89,Chad2008
1357,77.92,Chile2008
1358,64.2,China2008
1359,78.45,Colombia2008
1360,46.05,Comoros2008
1361,76.55,Costa Rica2008
1362,58.53,Cote d'Ivoire2008
1363,79.96,Croatia2008
1364,78.83,Cuba2008
1365,77.59,Cyprus2008
1366,82.24,Czech Republic2008
1367,87.86,Denmark2008
1368,40.83,Djibouti2008
1369,76.06,Dominican Republic2008
1370,67.58,Ecuador2008
1371,63.8,Egypt2008
1372,67.06,El Salvador2008
1373,64.04,Equatorial Guinea2008
1374,34.73,Eritrea2008
1375,86.6,Estonia2008
1376,41.16,Ethiopia2008
1377,68.97,Fiji2008
1378,90.76,Finland2008
1379,85.11,France2008
1380,65.06,Gabon2008
1381,61.01,Georgia2008
1382,81.73,Germany2008
1383,54.66,Ghana2008
1384,81.66,Greece2008
1385,57.9,Grenada2008
1386,68.36,Guatemala2008
1387,49.04,Guinea2008
1388,68.33,Guyana2008
1389,40.38,Haiti2008
1390,68.43,Honduras2008
1391,79.61,Hungary2008
1392,89.09,Iceland2008
1393,53.9,India2008
1394,62.37,Indonesia2008
1395,64.72,Iran2008
1396,61.67,Iraq2008
1397,87.26,Ireland2008
1398,81.87,Italy2008
1399,76.21,Jamaica2008
1400,80.17,Japan2008
1401,69.34,Jordan2008
1402,71.38,Kazakhstan2008
1403,59.64,Kenya2008
1404,57.23,Kuwait2008
1405,71.35,Kyrgyz Republic2008
1406,47.48,Laos2008
1407,83.26,Latvia2008
1408,65.37,Lebanon2008
1409,43.46,Lesotho2008
1410,41.21,Liberia2008
1411,61.7,Libya2008
1412,80.7,Lithuania2008
1413,85.9,Luxembourg2008
1414,73.11,Macedonia2008
1415,34.65,Madagascar2008
1416,43.1,Malawi2008
1417,76.66,Malaysia2008
1418,55.19,Maldives2008
1419,38.35,Mali2008
1420,86.65,Malta2008
1421,43.51,Mauritania2008
1422,74.32,Mauritius2008
1423,71.52,Mexico2008
1424,72.93,Moldova2008
1425,61.1,Mongolia2008
1426,74.74,Montenegro2008
1427,71.47,Morocco2008
1428,38.95,Mozambique2008
1429,48.04,Myanmar2008
1430,68.27,Namibia2008
1431,48.14,Nepal2008
1432,79.86,Netherlands2008
1433,85.96,New Zealand2008
1434,62.62,Nicaragua2008
1435,34.91,Niger2008
1436,52.87,Nigeria2008
1437,86.97,Norway2008
1438,58.57,Oman2008
1439,50.16,Pakistan2008
1440,77.55,Panama2008
1441,42.44,Papua New Guinea2008
1442,67.33,Paraguay2008
1443,71.35,Peru2008
1444,71.74,Philippines2008
1445,78.51,Poland2008
1446,85.99,Portugal2008
1447,69.11,Qatar2008
1448,75.85,Romania2008
1449,80.44,Russia2008
1450,49.2,Rwanda2008
1451,67.93,Samoa2008
1452,41.32,Sao Tome and Principe2008
1453,70.83,Saudi Arabia2008
1454,63.28,Senegal2008
1455,67.72,Seychelles2008
1456,40.38,Sierra Leone2008
1457,91.05,Singapore2008
1458,83.26,Slovenia2008
1459,41.86,Solomon Islands2008
1460,27.0,Somalia2008
1461,68.44,South Africa2008
1462,70.98,South Korea2008
1463,86.03,Spain2008
1464,64.43,Sri Lanka2008
1465,40.38,Sudan2008
1466,67.17,Suriname2008
1467,59.03,Swaziland2008
1468,88.63,Sweden2008
1469,83.79,Switzerland2008
1470,66.24,Syria2008
1471,73.37,Tajikistan2008
1472,53.61,Tanzania2008
1473,69.07,Thailand2008
1474,44.7,Timor-Leste2008
1475,40.76,Togo2008
1476,77.3,Trinidad and Tobago2008
1477,73.81,Tunisia2008
1478,59.74,Turkey2008
1479,71.15,Turkmenistan2008
1480,55.16,Uganda2008
1481,75.34,Ukraine2008
1482,70.48,United Arab Emirates2008
1483,86.71,United Kingdom2008
1484,73.55,Uruguay2008
1485,66.74,Uzbekistan2008
1486,72.87,Venezuela2008
1487,47.16,Yemen2008
1488,61.45,Zambia2008
1489,58.53,Zimbabwe2008
1490,34.17,Afghanistan2007
1491,65.57,Albania2007
1492,70.81,Algeria2007
1493,49.08,Angola2007
1494,66.4,Antigua and Barbuda2007
1495,79.63,Argentina2007
1496,77.29,Armenia2007
1497,87.22,Australia2007
1498,82.61,Austria2007
1499,79.57,Azerbaijan2007
1500,69.32,Bahrain2007
1501,42.11,Bangladesh2007
1502,54.94,Barbados2007
1503,79.2,Belarus2007
1504,78.11,Belgium2007
1505,73.91,Belize2007
1506,39.41,Benin2007
1507,63.42,Bhutan2007
1508,69.53,Bolivia2007
1509,56.49,Bosnia and Herzegovina2007
1510,67.67,Botswana2007
1511,79.44,Brazil2007
1512,65.43,Brunei Darussalam2007
1513,73.16,Bulgaria2007
1514,40.3,Burkina Faso2007
1515,40.69,Burundi2007
1516,47.03,Cambodia2007
1517,49.42,Cameroon2007
1518,82.57,Canada2007
1519,51.52,Cape Verde2007
1520,45.22,Central African Republic2007
1521,35.74,Chad2007
1522,78.26,Chile2007
1523,64.24,China2007
1524,78.2,Colombia2007
1525,40.42,Comoros2007
1526,76.13,Costa Rica2007
1527,58.77,Cote d'Ivoire2007
1528,80.01,Croatia2007
1529,78.61,Cuba2007
1530,77.66,Cyprus2007
1531,82.11,Czech Republic2007
1532,87.98,Denmark2007
1533,40.82,Djibouti2007
1534,76.1,Dominican Republic2007
1535,67.7,Ecuador2007
1536,63.85,Egypt2007
1537,66.59,El Salvador2007
1538,64.31,Equatorial Guinea2007
1539,35.12,Eritrea2007
1540,87.09,Estonia2007
1541,41.18,Ethiopia2007
1542,68.79,Fiji2007
1543,90.86,Finland2007
1544,85.25,France2007
1545,65.03,Gabon2007
1546,60.68,Georgia2007
1547,81.35,Germany2007
1548,55.17,Ghana2007
1549,81.46,Greece2007
1550,57.7,Grenada2007
1551,67.88,Guatemala2007
1552,49.12,Guinea2007
1553,68.2,Guyana2007
1554,40.16,Haiti2007
1555,67.2,Honduras2007
1556,79.61,Hungary2007
1557,89.16,Iceland2007
1558,53.86,India2007
1559,62.58,Indonesia2007
1560,64.67,Iran2007
1561,62.97,Iraq2007
1562,86.85,Ireland2007
1563,81.76,Italy2007
1564,76.16,Jamaica2007
1565,80.43,Japan2007
1566,70.18,Jordan2007
1567,71.36,Kazakhstan2007
1568,59.43,Kenya2007
1569,58.39,Kuwait2007
1570,70.96,Kyrgyz Republic2007
1571,47.09,Laos2007
1572,83.81,Latvia2007
1573,65.44,Lebanon2007
1574,42.95,Lesotho2007
1575,41.04,Liberia2007
1576,61.47,Libya2007
1577,81.44,Lithuania2007
1578,86.18,Luxembourg2007
1579,72.91,Macedonia2007
1580,34.61,Madagascar2007
1581,43.07,Malawi2007
1582,77.21,Malaysia2007
1583,54.19,Maldives2007
1584,38.32,Mali2007
1585,86.51,Malta2007
1586,43.58,Mauritania2007
1587,73.85,Mauritius2007
1588,70.5,Mexico2007
1589,73.63,Moldova2007
1590,62.48,Mongolia2007
1591,75.16,Montenegro2007
1592,70.34,Morocco2007
1593,38.86,Mozambique2007
1594,48.35,Myanmar2007
1595,67.63,Namibia2007
1596,47.79,Nepal2007
1597,80.02,Netherlands2007
1598,85.76,New Zealand2007
1599,62.6,Nicaragua2007
1600,34.91,Niger2007
1601,53.1,Nigeria2007
1602,86.38,Norway2007
1603,58.67,Oman2007
1604,50.21,Pakistan2007
1605,77.49,Panama2007
1606,42.66,Papua New Guinea2007
1607,67.58,Paraguay2007
1608,71.23,Peru2007
1609,71.86,Philippines2007
1610,78.58,Poland2007
1611,84.8,Portugal2007
1612,70.67,Qatar2007
1613,74.5,Romania2007
1614,81.57,Russia2007
1615,49.19,Rwanda2007
1616,67.99,Samoa2007
1617,39.84,Sao Tome and Principe2007
1618,70.66,Saudi Arabia2007
1619,62.89,Senegal2007
1620,67.3,Seychelles2007
1621,40.23,Sierra Leone2007
1622,90.94,Singapore2007
1623,83.26,Slovenia2007
1624,42.03,Solomon Islands2007
1625,27.42,Somalia2007
1626,68.29,South Africa2007
1627,70.7,South Korea2007
1628,85.94,Spain2007
1629,64.78,Sri Lanka2007
1630,40.22,Sudan2007
1631,67.13,Suriname2007
1632,58.88,Swaziland2007
1633,88.79,Sweden2007
1634,84.31,Switzerland2007
1635,66.39,Syria2007
1636,73.26,Tajikistan2007
1637,53.46,Tanzania2007
1638,69.78,Thailand2007
1639,44.83,Timor-Leste2007
1640,40.96,Togo2007
1641,77.25,Trinidad and Tobago2007
1642,72.86,Tunisia2007
1643,60.35,Turkey2007
1644,70.74,Turkmenistan2007
1645,54.66,Uganda2007
1646,75.62,Ukraine2007
1647,71.48,United Arab Emirates2007
1648,85.68,United Kingdom2007
1649,73.51,Uruguay2007
1650,66.38,Uzbekistan2007
1651,72.66,Venezuela2007
1652,47.06,Yemen2007
1653,62.12,Zambia2007
1654,58.83,Zimbabwe2007
