,C1,C2,C3,E1,E2,E3,FSI,P1,P2,P3,S1,S2,X1,country
20,3.8,3.3,5.1,6.0,8.0,5.2,63.5,3.5,7.0,4.7,7.9,4.7,4.3,Botswana2016
21,6.4,4.9,5.7,4.5,8.0,4.3,65.3,5.9,6.0,6.1,7.6,2.9,3.0,Brazil2016
22,5.3,7.4,5.9,3.0,7.8,4.3,62.0,8.3,2.0,7.9,3.9,2.4,3.8,Brunei Darussalam2016
23,3.8,5.3,5.3,5.9,4.6,4.3,53.7,4.7,3.9,3.5,3.9,4.0,4.5,Bulgaria2016
24,8.1,8.1,4.7,6.5,8.4,7.2,89.4,7.3,8.9,6.3,9.4,6.8,7.7,Burkina Faso2016
25,9.0,8.5,8.1,8.2,7.4,6.5,100.7,9.0,8.2,8.5,9.5,9.1,8.7,Burundi2016
26,6.4,8.3,7.1,5.9,6.8,7.8,87.4,8.5,8.0,7.9,7.2,5.9,7.6,Cambodia2016
27,8.1,9.4,8.5,6.3,8.1,7.8,97.8,8.7,8.9,7.7,8.3,8.0,8.0,Cameroon2016
28,1.9,2.5,3.6,1.9,2.7,1.9,23.8,1.0,1.7,1.5,2.1,2.0,1.0,Canada2016
29,5.4,5.5,4.1,5.7,7.3,8.2,71.5,5.5,6.2,4.2,7.2,4.4,7.8,Cape Verde2016
30,9.2,10.0,9.3,8.6,9.9,7.2,112.1,9.8,10.0,9.9,8.7,10.0,9.5,Central African Republic2016
31,9.1,9.8,8.5,8.0,9.3,8.9,110.1,9.2,9.8,9.3,9.9,9.8,8.5,Chad2016
32,2.9,2.2,3.8,3.3,5.4,3.5,41.9,3.5,4.2,3.2,5.4,2.2,2.3,Chile2016
33,5.6,7.2,8.1,4.1,7.5,4.6,74.9,8.3,5.9,8.7,6.9,5.1,2.9,China2016
34,7.0,7.6,7.0,3.9,7.8,6.3,80.2,6.5,6.1,7.2,6.7,7.9,6.2,Colombia2016
35,6.9,7.5,5.0,8.2,7.2,7.6,83.8,6.8,8.4,6.5,7.5,4.7,7.5,Comoros2016
36,3.3,3.8,4.4,4.2,5.5,3.8,45.1,2.6,4.1,1.7,3.8,3.6,4.3,Costa Rica2016
37,7.7,9.4,8.3,6.8,8.2,7.0,97.9,8.1,8.7,8.1,8.2,8.0,9.4,Cote d'Ivoire2016
38,3.7,4.4,6.0,5.5,3.5,4.2,52.4,3.1,2.6,3.8,3.3,7.5,4.8,Croatia2016
39,5.4,7.0,4.2,4.2,5.6,5.4,66.3,7.3,4.3,7.7,5.7,4.2,5.3,Cuba2016
40,4.1,7.9,6.5,6.4,6.1,4.2,64.0,5.0,2.7,3.2,3.7,5.0,9.2,Cyprus2016
41,2.3,5.0,5.0,4.3,2.9,2.5,40.8,4.9,2.8,2.6,1.6,4.0,2.9,Czech Republic2016
42,1.4,1.4,4.6,2.2,1.8,1.6,21.5,0.6,1.1,1.7,2.2,1.8,1.1,Denmark2016
43,6.6,7.3,6.7,7.1,8.1,5.5,89.7,7.9,8.1,7.5,8.5,7.5,8.9,Djibouti2016
44,5.5,6.2,6.0,5.2,6.0,7.3,70.8,5.7,6.8,6.0,7.0,3.5,5.6,Dominican Republic2016
45,6.5,8.2,7.5,5.5,6.9,5.9,75.6,6.7,6.0,5.2,6.0,5.4,5.8,Ecuador2016
46,8.3,8.8,9.0,8.4,6.2,4.4,90.2,8.4,5.1,9.7,6.8,7.0,8.1,Egypt2016
47,7.0,4.3,6.2,5.6,6.6,7.5,72.5,5.0,6.6,6.5,6.6,5.0,5.6,El Salvador2016
48,6.7,8.2,6.3,6.2,8.9,5.7,85.2,9.9,7.4,9.4,7.7,3.6,5.2,Equatorial Guinea2016
49,7.4,8.1,6.6,8.3,7.5,8.0,98.6,9.5,8.6,9.1,9.1,8.5,7.9,Eritrea2016
50,2.9,5.5,6.8,3.7,3.4,3.7,43.4,2.9,3.1,1.8,3.0,2.6,4.0,Estonia2016
51,8.1,8.3,8.6,6.7,6.7,7.3,97.2,7.7,8.3,8.5,9.3,9.5,8.2,Ethiopia2016
52,6.8,7.9,7.1,6.7,6.5,7.9,76.2,7.1,4.5,6.6,4.4,3.3,7.4,Fiji2016
53,1.4,1.1,2.0,3.7,1.2,2.0,18.8,0.6,1.0,1.0,1.3,2.5,1.0,Finland2016
54,3.0,1.9,7.0,4.5,3.4,1.9,34.5,1.5,1.3,2.3,3.0,2.7,2.0,France2016
55,4.7,7.1,4.0,5.0,6.7,5.8,72.0,7.7,6.9,7.2,6.8,4.7,5.4,Gabon2016
56,7.0,9.1,8.1,5.6,5.7,5.1,78.9,8.5,4.5,5.8,4.2,7.7,7.6,Georgia2016
57,1.8,2.3,4.8,2.4,3.0,1.8,28.6,1.0,1.3,1.3,2.2,5.7,1.0,Germany2016
58,3.8,4.9,4.6,6.6,6.8,7.9,71.2,4.7,7.4,5.3,7.1,5.2,6.9,Ghana2016
59,4.2,3.8,5.1,7.0,3.9,3.5,55.9,6.2,4.0,3.2,3.9,5.0,6.1,Greece2016
60,5.9,5.6,3.8,6.2,5.0,8.6,63.0,5.6,4.0,3.4,4.9,3.2,6.8,Grenada2016
61,7.3,6.8,8.2,5.7,8.3,7.0,83.2,6.7,7.7,6.9,7.4,5.8,5.4,Guatemala2016
62,9.0,9.9,8.8,9.4,7.4,7.5,103.8,9.8,9.2,7.9,8.9,8.4,7.6,Guinea2016
63,6.1,5.1,6.4,6.1,5.9,9.4,70.9,5.6,6.4,3.6,5.5,3.8,7.0,Guyana2016
64,7.9,9.6,6.7,8.9,9.5,9.0,105.1,9.4,9.4,7.7,9.2,7.9,9.9,Haiti2016
65,7.0,6.8,6.1,6.6,7.9,6.6,79.8,7.0,7.0,6.6,6.5,4.0,7.7,Honduras2016
66,2.4,5.3,5.0,5.6,4.0,3.0,52.7,6.3,3.4,4.9,2.0,6.7,4.1,Hungary2016
67,1.2,1.8,1.3,3.5,1.3,2.5,22.8,1.0,1.4,1.0,1.8,1.7,4.3,Iceland2016
68,7.6,7.3,8.5,5.3,7.2,5.8,79.6,4.9,7.6,6.2,8.1,5.5,5.6,India2016
69,5.9,7.0,7.3,5.5,6.0,6.6,74.9,5.3,6.1,7.4,6.8,5.6,5.4,Indonesia2016
70,7.7,9.6,8.8,6.6,5.8,6.5,86.9,9.2,4.7,9.5,5.1,6.7,6.7,Iran2016
71,10.0,9.6,9.8,6.8,7.5,7.9,104.7,9.2,7.8,8.9,8.1,9.4,9.7,Iraq2016
72,1.8,1.5,1.6,3.6,2.4,2.5,22.5,1.2,1.6,1.1,1.9,1.7,1.6,Ireland2016
73,4.2,4.9,5.0,5.5,3.1,1.7,43.1,3.9,2.3,2.2,2.8,5.0,2.5,Italy2016
74,6.6,3.7,3.6,7.1,5.6,8.1,65.0,5.0,6.1,5.2,4.9,3.1,6.0,Jamaica2016
75,1.3,2.6,3.9,4.3,1.8,2.9,35.1,1.4,1.8,3.2,4.5,3.4,4.0,Japan2016
76,5.2,6.9,7.7,6.6,5.6,3.9,78.0,6.4,4.4,8.0,6.7,9.3,7.3,Jordan2016
77,5.4,7.6,7.3,6.6,4.4,3.3,66.5,8.0,4.2,7.4,4.7,3.2,4.4,Kazakhstan2016
78,8.5,8.9,9.1,7.4,8.0,7.8,98.3,7.8,8.2,7.2,9.1,8.0,8.3,Kenya2016
79,4.2,7.5,5.2,2.7,4.4,3.3,58.5,7.4,2.8,7.6,5.2,3.7,4.5,Kuwait2016
80,6.5,8.0,8.6,7.2,6.1,6.7,81.1,7.9,5.3,7.0,5.7,5.5,6.6,Kyrgyz Republic2016
81,5.7,8.3,6.6,5.4,7.1,7.7,84.4,9.3,7.2,8.1,7.4,5.3,6.3,Laos2016
82,3.2,4.3,7.7,3.7,4.3,4.5,47.4,3.6,3.1,2.8,3.1,3.0,4.1,Latvia2016
83,8.9,9.3,8.7,6.1,5.8,5.1,89.6,7.8,5.9,7.4,5.8,9.5,9.3,Lebanon2016
84,5.9,7.3,4.1,8.2,7.6,7.7,80.9,6.1,8.3,4.7,8.2,4.8,8.0,Lesotho2016
85,6.6,8.3,6.0,8.3,8.6,6.9,95.5,7.0,9.5,6.7,9.2,8.9,9.5,Liberia2016
86,9.6,9.4,8.3,8.0,5.8,6.5,96.4,9.5,7.2,9.3,5.1,8.0,9.7,Libya2016
87,3.1,3.0,4.6,4.7,4.7,4.1,42.4,2.9,3.7,2.7,3.0,2.4,3.5,Lithuania2016
88,1.9,3.4,3.1,1.2,1.7,1.8,24.1,1.0,2.3,1.0,1.7,3.7,1.3,Luxembourg2016
89,5.7,7.3,7.1,6.0,5.4,5.2,67.0,6.0,4.1,4.0,3.0,7.0,6.2,Macedonia2016
90,7.3,7.8,4.3,7.8,8.8,6.4,84.2,7.3,9.3,5.8,8.8,3.6,7.0,Madagascar2016
91,4.5,7.7,5.1,8.6,8.5,8.1,87.6,6.6,8.1,6.4,9.3,6.3,8.4,Malawi2016
92,6.5,6.8,6.7,3.3,5.2,4.7,66.1,7.4,4.4,7.7,5.5,3.9,4.0,Malaysia2016
93,6.6,8.0,4.8,6.1,3.8,5.9,74.0,8.7,5.8,7.7,5.5,4.4,6.7,Maldives2016
94,9.2,5.2,7.9,7.9,7.6,8.7,95.2,6.3,9.0,7.0,8.7,8.1,9.6,Mali2016
95,3.3,2.0,3.9,4.2,2.8,3.9,39.6,3.8,2.2,3.2,2.7,4.1,3.5,Malta2016
96,7.1,8.8,7.2,7.9,7.0,6.6,95.4,8.2,9.2,8.1,8.9,8.2,8.2,Mauritania2016
97,2.5,3.2,3.8,4.2,4.0,4.1,43.2,3.2,3.5,3.6,3.8,2.4,4.9,Mauritius2016
98,8.0,5.1,6.7,4.4,6.3,5.5,70.4,6.2,6.5,6.2,6.2,4.1,5.2,Mexico2016
99,6.3,8.3,7.0,6.6,5.0,6.3,73.2,6.8,5.1,5.1,5.0,4.1,7.6,Moldova2016
100,3.7,5.5,4.0,5.0,6.1,3.0,56.6,4.2,5.6,4.7,5.3,2.7,6.8,Mongolia2016
101,3.7,6.5,7.6,4.9,2.6,3.7,55.2,4.8,3.3,4.1,3.0,4.8,6.2,Montenegro2016
102,5.4,6.6,7.4,5.0,6.4,7.9,74.2,6.8,5.4,7.0,5.0,5.6,5.7,Morocco2016
103,6.7,6.9,5.6,7.7,8.9,7.7,87.8,6.7,9.2,5.8,9.5,5.5,7.6,Mozambique2016
104,8.4,8.6,9.9,6.4,7.9,6.0,96.3,8.7,8.7,8.6,7.3,8.3,7.5,Myanmar2016
105,5.2,3.5,6.0,7.0,8.4,6.8,71.1,3.5,7.6,4.0,7.3,5.2,6.6,Namibia2016
106,6.7,8.3,9.5,7.0,7.2,6.7,91.2,7.1,7.4,7.4,8.8,8.0,7.1,Nepal2016
107,1.7,3.1,4.4,2.9,2.4,2.3,28.2,1.5,1.2,1.1,2.7,4.0,0.9,Netherlands2016
108,1.4,1.1,3.8,3.8,2.5,1.8,21.3,0.6,1.6,0.7,1.6,1.5,0.9,New Zealand2016
109,5.7,7.1,6.7,5.9,8.2,8.3,79.0,7.6,6.9,5.4,5.5,4.2,7.5,Nicaragua2016
110,8.9,8.9,7.7,8.0,8.2,7.2,98.4,7.8,9.2,6.7,9.5,8.0,8.3,Niger2016
111,9.7,9.9,9.4,7.7,8.8,7.4,103.5,8.8,9.4,9.1,9.1,7.7,6.5,Nigeria2016
112,2.2,1.1,3.8,1.7,1.7,1.3,21.2,0.5,1.1,1.6,1.7,3.0,1.5,Norway2016
113,4.4,6.6,3.1,4.2,4.3,2.2,51.6,6.5,3.7,7.4,5.0,2.2,2.0,Oman2016
114,9.3,8.9,9.7,7.4,7.0,7.3,101.7,8.3,8.2,8.2,8.9,8.9,9.6,Pakistan2016
115,5.4,2.5,5.3,3.1,7.6,4.3,53.2,3.7,5.3,4.5,5.4,3.2,2.9,Panama2016
116,7.2,7.1,6.5,5.8,9.3,7.4,86.2,7.0,9.2,7.1,7.9,4.7,7.0,Papua New Guinea2016
117,6.8,7.8,6.0,5.2,8.1,5.5,72.6,7.2,6.4,6.1,6.2,2.8,4.5,Paraguay2016
118,7.3,6.9,7.6,3.4,7.6,7.0,72.0,7.4,6.9,4.5,5.2,4.5,3.7,Peru2016
119,9.4,8.0,8.1,5.7,5.9,6.5,84.7,7.2,6.9,5.6,7.7,7.1,6.6,Philippines2016
120,2.0,3.8,4.9,3.8,3.2,4.2,40.7,3.5,2.5,2.9,3.0,3.8,3.1,Poland2016
121,1.5,2.5,2.7,5.0,2.7,1.9,29.2,1.8,2.4,2.0,2.3,1.9,2.5,Portugal2016
122,2.3,5.0,4.6,2.3,4.9,2.8,45.1,6.3,1.5,6.5,4.0,2.0,2.9,Qatar2016
123,3.2,5.4,7.0,4.9,4.4,4.2,52.9,5.7,4.0,3.9,3.4,3.0,3.8,Romania2016
124,9.2,8.1,9.0,5.4,6.4,4.2,81.0,8.2,4.4,9.4,4.8,6.0,5.9,Russia2016
125,5.9,8.3,9.1,6.2,8.5,7.6,91.3,6.8,7.6,7.4,8.2,8.0,7.7,Rwanda2016
126,4.9,5.1,4.5,6.5,5.1,9.2,67.6,5.7,5.1,4.3,5.9,2.4,8.9,Samoa2016
127,5.2,6.3,4.5,8.7,6.2,8.2,72.9,5.8,6.1,3.5,6.4,4.4,7.6,Sao Tome and Principe2016
128,6.5,8.2,7.5,4.7,5.5,3.5,72.2,8.1,4.0,8.9,5.5,4.9,4.9,Saudi Arabia2016
129,5.9,6.6,6.6,7.6,7.6,7.7,83.6,5.2,7.6,6.2,8.3,7.5,6.8,Senegal2016
130,5.7,8.0,7.8,6.6,5.0,5.0,72.0,5.4,4.4,4.6,4.5,8.6,6.4,Serbia2016
131,6.3,6.0,4.5,4.3,5.7,5.6,60.2,5.7,2.9,4.3,4.8,2.9,7.2,Seychelles2016
132,4.5,7.8,5.9,8.8,8.5,8.7,91.0,7.1,9.0,5.5,9.2,7.9,8.1,Sierra Leone2016
133,1.7,4.0,2.8,2.2,4.0,3.0,32.9,3.9,1.5,4.3,2.7,1.4,1.4,Singapore2016
134,1.8,1.7,4.2,4.0,3.6,2.8,33.9,2.9,1.7,1.7,2.5,4.5,2.5,Slovenia2016
135,6.1,8.2,6.5,7.3,9.2,6.6,85.3,7.0,7.9,5.4,8.2,4.6,8.3,Solomon Islands2016
136,9.7,10.0,9.4,9.0,9.3,9.5,114.0,9.5,9.0,9.7,9.7,9.7,9.5,Somalia2016
137,5.8,5.6,6.3,6.6,7.7,5.2,69.9,5.0,7.2,4.4,7.3,5.6,3.2,South Africa2016
138,1.8,3.8,3.1,2.1,3.2,3.6,36.1,3.4,2.1,2.9,3.3,1.7,5.1,South Korea2016
139,3.0,6.3,5.9,5.2,3.7,2.1,39.8,3.0,2.4,2.0,2.2,2.0,2.0,Spain2016
140,7.6,8.8,9.2,5.6,7.3,7.9,87.7,7.4,5.3,8.5,5.7,7.9,6.5,Sri Lanka2016
141,9.2,10.0,9.8,8.7,7.6,9.1,111.5,9.8,9.1,9.3,9.0,10.0,9.9,Sudan2016
142,5.1,5.8,5.8,6.8,6.3,7.0,66.7,5.2,5.8,4.8,5.0,3.0,6.1,Suriname2016
143,6.0,6.8,3.4,9.4,8.4,7.2,87.6,8.8,7.8,8.8,8.9,4.8,7.3,Swaziland2016
144,1.8,1.8,1.7,2.0,1.5,1.2,22.6,1.0,1.3,1.3,2.2,5.5,1.3,Sweden2016
145,1.3,1.0,3.8,2.5,2.4,1.8,21.8,1.0,1.1,2.0,1.7,2.2,1.0,Switzerland2016
146,10.0,9.9,10.0,7.8,7.4,8.6,110.8,10.0,8.9,9.8,8.4,10.0,10.0,Syria2016
147,6.9,8.4,7.6,7.5,5.3,6.4,83.8,9.3,5.8,7.9,8.1,4.5,6.1,Tajikistan2016
148,5.2,6.0,5.4,6.4,7.3,7.3,81.8,6.1,8.8,6.1,8.9,6.9,7.4,Tanzania2016
149,9.2,9.7,9.0,3.8,5.5,4.4,78.8,7.7,4.6,8.2,6.6,6.1,4.0,Thailand2016
150,7.4,8.3,6.7,8.1,7.0,7.3,90.8,7.1,8.7,5.5,9.2,6.5,9.0,Timor-Leste2016
151,6.7,7.6,4.8,6.5,8.4,7.6,85.8,8.0,8.3,6.9,8.0,6.8,6.2,Togo2016
152,6.0,5.6,4.4,4.6,5.1,7.8,57.8,4.7,4.5,4.3,4.7,2.8,3.3,Trinidad and Tobago2016
153,7.9,7.8,7.9,6.9,5.1,5.8,74.6,6.7,4.6,6.7,4.4,4.2,6.6,Tunisia2016
154,7.8,7.6,9.5,4.8,5.9,3.6,77.3,6.6,4.6,7.4,5.1,8.8,5.6,Turkey2016
155,6.5,7.8,6.8,5.1,6.9,4.8,76.0,9.8,5.8,8.9,5.6,3.7,4.3,Turkmenistan2016
156,7.3,8.9,9.0,6.7,7.6,7.6,97.7,8.3,8.5,8.0,8.7,9.1,8.0,Uganda2016
157,7.8,8.0,6.9,7.0,4.4,5.4,75.5,8.4,3.9,6.2,4.4,4.3,8.8,Ukraine2016
158,2.8,3.6,3.6,2.6,3.9,2.2,44.5,6.9,2.4,7.5,4.2,2.2,2.6,United Arab Emirates2016
159,2.4,3.5,5.9,3.8,3.8,1.8,32.4,1.7,1.8,1.9,2.6,2.2,1.0,United Kingdom2016
160,3.5,2.7,2.7,3.3,4.3,4.1,36.2,1.1,3.1,2.5,4.0,2.2,2.7,Uruguay2016
161,7.3,8.8,7.3,6.5,7.1,6.0,83.5,9.7,5.1,9.4,5.8,5.7,4.8,Uzbekistan2016
162,6.8,8.2,7.4,7.0,6.9,5.2,81.6,8.7,7.2,8.6,5.2,4.8,5.6,Venezuela2016
163,10.0,9.5,9.5,9.4,8.4,7.5,111.5,9.4,9.3,9.4,9.5,9.6,10.0,Yemen2016
164,4.7,5.7,5.4,8.1,8.9,8.1,86.3,7.2,8.1,7.1,9.5,6.6,6.9,Zambia2016
165,7.8,9.8,7.5,8.3,8.2,8.1,100.5,8.9,8.5,8.4,8.6,8.7,7.7,Zimbabwe2016
166,10.0,9.3,8.9,8.6,7.2,8.1,107.9,9.7,9.3,8.6,9.3,9.1,9.8,Afghanistan2015
167,4.7,6.2,5.0,5.2,4.2,7.1,61.9,6.2,4.5,5.5,4.1,3.1,6.1,Albania2015
168,8.0,7.7,8.2,6.4,6.0,5.1,79.6,7.8,5.8,7.1,5.7,6.4,5.4,Algeria2015
169,6.0,7.2,7.3,5.6,9.6,6.0,87.9,8.3,8.9,7.3,8.7,7.6,5.6,Angola2015
170,5.2,3.7,3.9,5.0,5.0,7.3,57.8,5.9,3.9,4.5,4.6,3.0,5.8,Antigua and Barbuda2015
171,3.6,2.8,5.0,4.9,5.4,3.0,47.6,4.7,4.3,4.1,3.8,2.0,4.0,Argentina2015
172,5.3,7.0,5.4,6.0,5.0,6.0,69.7,7.0,4.1,6.5,3.6,7.0,6.8,Armenia2015
173,2.1,1.6,4.4,2.1,2.7,1.0,24.3,1.1,2.0,2.4,1.8,2.1,1.0,Australia2015
174,1.1,2.7,4.3,2.2,3.4,1.5,25.8,1.4,1.6,1.7,2.4,2.0,1.7,Austria2015
175,6.7,7.9,6.4,4.1,5.9,4.3,77.3,8.6,5.4,8.4,5.1,7.6,6.9,Azerbaijan2015
176,6.7,7.1,7.7,3.2,5.1,3.5,64.4,8.4,2.3,7.8,4.6,2.6,5.3,Bahrain2015
177,7.7,9.6,8.4,6.7,7.2,7.5,91.8,8.5,8.1,7.7,8.1,6.6,5.7,Bangladesh2015
178,4.3,4.2,4.1,5.7,5.1,5.4,49.3,3.0,2.7,2.9,3.8,2.7,5.4,Barbados2015
179,6.6,8.3,6.8,6.1,5.2,3.4,75.6,8.6,4.7,8.4,5.6,4.1,7.8,Belarus2015
180,2.0,3.9,4.1,4.5,3.2,1.9,30.5,1.9,2.1,1.2,2.5,1.6,1.5,Belgium2015
