,DP,EI,EPI,Economy,FE,FSI,GDP,GDPpc,GG,HFBD,HR,LandArea,PS,Pop,PopDensity,PopGrowthRate,RI,SA,SDGI,SL,country
10,7.5,5.8,29.56,5.8,9.3,89.1,540.894,3319.354537,8.7,7.8,7.4,130170.0,8.1,162.95156,1251.836521,1.080165239,6.6,7.6,56.2,7.8,Bangladesh
11,4.4,6.0,55.76,5.9,4.2,49.6,4.773832887,16750.52593,4.1,5.4,2.9,430.0,2.7,0.284996,662.7813953,0.273711418,2.5,4.4,66.0,2.5,Barbados
12,5.1,7.3,64.98,6.0,8.3,72.4,159.171,16742.2942,7.1,3.4,7.9,202910.0,4.2,9.50712,46.8538761,0.184284342,3.6,6.1,77.1,8.7,Belarus
13,2.0,1.0,77.38,4.2,4.4,30.8,477.288,42058.62819,4.9,1.6,1.5,30280.0,2.3,11.348159,374.7740753,0.653895349,2.4,2.4,80.0,1.4,Belgium
14,5.1,7.5,57.79,6.7,4.3,65.5,2.879126894,7846.015833,4.1,6.6,4.7,22810.0,5.9,0.366954,16.0874178,2.111220431,3.6,6.4,66.0,5.2,Belize
15,8.3,6.6,38.17,6.6,6.7,77.6,21.85289913,2009.961384,3.4,7.4,5.2,112760.0,8.7,10.872298,96.41981199,2.763534181,5.5,6.2,49.5,5.4,Benin
16,6.1,8.0,47.22,4.7,7.5,76.0,6.584188915,8253.293783,7.9,7.2,6.6,38117.0,6.1,0.797765,20.92937534,1.309546955,7.0,4.5,65.5,4.3,Bhutan
17,6.3,5.8,55.98,5.4,8.0,76.8,73.03543539,6707.956184,6.0,7.0,6.0,1083300.0,6.8,10.887882,10.05066187,1.510046906,3.9,6.5,64.7,6.5,Bolivia
18,3.8,8.2,41.84,5.7,8.7,73.0,39.8364244,11327.41218,7.0,5.5,5.6,51200.0,3.6,3.516816,68.6878125,-0.54290805,7.6,5.7,65.5,6.5,Bosnia and Herzegovina
19,8.2,4.1,51.7,5.8,3.3,63.8,35.38137144,15723.23707,4.9,5.5,5.0,566730.0,7.3,2.25026,3.970603286,1.841666401,4.5,4.1,58.3,3.3,Botswana
20,8.1,3.3,60.7,4.8,4.9,68.2,2912.06,14023.69286,6.2,4.6,6.4,8358140.0,6.4,207.652865,24.84438703,0.817555711,2.8,6.7,69.5,6.2,Brazil
21,3.7,4.3,67.85,5.7,5.3,53.7,126.835,17794.3557,5.1,4.2,3.3,108560.0,4.4,7.127822,65.65790346,-0.701382098,4.5,4.3,72.5,4.5,Bulgaria
22,9.3,7.5,42.83,6.3,7.8,88.0,30.62090813,1642.185834,4.5,7.5,6.1,273600.0,8.7,18.646433,68.1521674,2.915614034,6.6,8.4,49.9,7.1,Burkina Faso
23,9.3,9.0,27.43,8.0,8.2,98.9,7.589746511,721.1765615,7.9,6.3,8.8,25680.0,8.0,10.524117,409.8176402,3.135333146,8.6,8.8,51.8,8.8,Burundi
24,7.0,7.4,43.23,5.7,8.3,85.7,54.61859125,3465.125565,6.9,7.6,7.7,176520.0,7.8,15.76237,89.29509404,1.564833471,5.7,6.7,58.2,8.3,Cambodia
25,8.1,7.8,40.81,6.6,9.1,95.6,78.44669479,3346.817793,8.3,7.6,7.5,472710.0,8.7,23.439189,49.58471156,2.613585149,8.0,7.9,52.8,8.4,Cameroon
26,1.9,1.0,72.18,1.8,2.5,22.6,1563.5,43087.73873,3.4,1.7,1.3,9093510.0,1.5,36.286425,3.990365107,1.213891076,1.8,2.2,78.0,1.0,Canada
27,9.0,9.8,36.42,9.1,9.7,112.6,2.976765097,647.8804448,9.1,7.5,9.7,622980.0,10.0,4.594621,7.375230344,1.06165489,10.0,9.0,36.7,9.7,Central African Republic
28,10.0,8.3,45.34,8.5,9.8,109.4,26.67816128,1845.914679,8.0,8.8,9.1,1259200.0,9.7,14.452543,11.47755956,3.114092441,9.6,9.4,41.5,9.1,Chad
